row_label_raw,row_label_full,Subsidiary/Associate,Location,Proportion of ownership interest (%),Proportion of voting power held (%),Main business,numeric__Location,numeric__Proportion of ownership interest (%),numeric__Proportion of voting power held (%),numeric__Main business
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,,
1. Central PetroVietnam Fertilizer and Chemicals JSC,Subsidiaries > 1. Central PetroVietnam Fertilizer and Chemicals JSC,1. Central PetroVietnam Fertilizer and Chemicals JSC,Binh Dinh Province,75.00,75.00,Trading in fertilizer and chemicals,,7500.0,7500.0,
2. SouthWest PetroVietnam Fertilizer and Chemicals JSC,Subsidiaries > 2. SouthWest PetroVietnam Fertilizer and Chemicals JSC,2. SouthWest PetroVietnam Fertilizer and Chemicals JSC,Can Tho City,75.00,75.00,Trading in fertilizer and chemicals,,7500.0,7500.0,
3. SouthEast PetroVietnam Fertilizer and Chemicals JSC,Subsidiaries > 3. SouthEast PetroVietnam Fertilizer and Chemicals JSC,3. SouthEast PetroVietnam Fertilizer and Chemicals JSC,Ho Chi Minh City,75.00,75.00,Trading in fertilizer and chemicals,,7500.0,7500.0,
4. Northern PetroVietnam Fertilizer and Chemicals JSC,Subsidiaries > 4. Northern PetroVietnam Fertilizer and Chemicals JSC,4. Northern PetroVietnam Fertilizer and Chemicals JSC,Hanoi City,75.00,75.00,Trading in fertilizer and chemicals,,7500.0,7500.0,
Associates,Associates,Associates,Associates,Associates,Associates,Associates,,,,
1. Dam Phu My Packaging JSC,Associates > 1. Dam Phu My Packaging JSC,1. Dam Phu My Packaging JSC,Ba Ria - Vung Tau Province,43.34,43.34,Production of packages,,4334.0,4334.0,
2. PetroVietnam Urban Development JSC,Associates > 2. PetroVietnam Urban Development JSC,2. PetroVietnam Urban Development JSC,Can Tho City,35.63,35.63,Construction and installation of civil and industrial works and services provision,,3563.0,3563.0,
3. Vietnam Petrochemical and Fiber JSC,Associates > 3. Vietnam Petrochemical and Fiber JSC,3. Vietnam Petrochemical and Fiber JSC,Hai Phong City,25.99,25.99,Production and sale of polyester fibers,,2599.0,2599.0,
