row_label_raw,row_label_full,col_0,Land use rights,Copyright,Computer software,Others,Total,numeric__Land use rights,numeric__Copyright,numeric__Computer software,numeric__Others,numeric__Total
,,,VND,VND,VND,VND,VND,,,,,
COST,COST,COST,COST,COST,COST,COST,COST,,,,,
Opening balance,Opening balance,Opening balance,"803,964,779,348","159,117,493,074","123,565,308,942","34,438,124,395","1,121,085,705,759",,,,,
Additions,Additions,Additions,"36,342,070,618",-,"1,877,954,840","510,000,000","38,730,025,458",,,,,
Closing balance,Closing balance,Closing balance,"840,306,849,966","159,117,493,074","125,443,263,782","34,948,124,395","1,159,815,731,217",,,,,
ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,,,,,
Opening balance,Opening balance,Opening balance,"53,150,623,035","159,117,493,074","113,803,718,434","14,507,554,296","340,579,388,839",,,,,
Charge for the year,Charge for the year,Charge for the year,"5,364,650,554",,"4,126,255,830","3,764,448,228","13,255,354,612",,,,,
Closing balance,Closing balance,Closing balance,"58,515,273,589","159,117,493,074","117,929,974,264","18,272,002,524","353,834,743,451",,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,,,
Opening balance,Opening balance,Opening balance,"750,814,156,313",-,"9,761,590,508","19,930,570,099","780,506,316,920",,,,,
Closing balance,Closing balance,Closing balance,"781,791,576,377",-,"7,513,289,518","16,676,121,871","805,980,987,766",,,,,
