row_label_raw,row_label_full,col_0,Số cuối năm > VNDGiá trị/ Số có khả năngtrả nợ,Số đầu năm > VNDGiá trị/ Số có khả năngtrả nợ,numeric__Số cuối năm > VNDGiá trị/ Số có khả năngtrả nợ,numeric__Số đầu năm > VNDGiá trị/ Số có khả năngtrả nợ
a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan,,
Công ty TNHH Quốc tế Lá Xanh,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan > Công ty TNHH Quốc tế Lá Xanh,Công ty TNHH Quốc tế Lá Xanh,6.644.636.920,6.329.324.980,6644636920.0,6329324980.0
Technip Italy S.p.A,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan > Technip Italy S.p.A,Technip Italy S.p.A,6.241.005.205,13.896.504.050,6241005205.0,13896504050.0
Công ty TNHH Tổng Công ty Công nghệ và Giải pháp CMC,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan > Công ty TNHH Tổng Công ty Công nghệ và Giải pháp CMC,Công ty TNHH Tổng Công ty Công nghệ và Giải pháp CMC,,6.854.085.000,,6854085000.0
Các nhà cung cấp khác,a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan > Các nhà cung cấp khác,Các nhà cung cấp khác,125.790.123.136,167.553.917.204,125790123136.0,167553917204.0
,,,138.675.765.261,194.633.831.234,138675765261.0,194633831234.0
b. Phải trả người bán ngắn hạn là các bên liên quan(Chỉ tiết tại Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn không phảilà các bên liên quan > b. Phải trả người bán ngắn hạn là các bên liên quan(Chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán ngắn hạn là các bên liên quan(Chỉ tiết tại Thuyết minh số 34),563.298.984.694,599.181.765.181,563298984694.0,599181765181.0
,,,701.974.749.955,793.815.596.415,701974749955.0,793815596415.0
