row_label_raw,row_label_full,ITEMS,Codes,Notes,Current year,Unit: VNDPrior year,numeric__Codes,numeric__Notes,numeric__Current year,numeric__Unit: VNDPrior year
1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,01,,"12,231,102,325,146","11,782,317,454,118",1.0,,,
2. Deductions,2. Deductions,2. Deductions,02,27,"169,155,333,187","212,599,625,509",2.0,27.0,,
3. Net revenue from goods sold and services rendered (10=01-02),3. Net revenue from goods sold and services rendered (10=01-02),3. Net revenue from goods sold and services rendered (10=01-02),10,27,"12,061,946,991,959","11,569,717,828,609",10.0,27.0,,
4. Cost of sales,4. Cost of sales,4. Cost of sales,11,27,"10,478,720,828,281","10,166,978,905,390",11.0,27.0,,
5. Gross profit from goods sold and services rendered (20=10-11),5. Gross profit from goods sold and services rendered (20=10-11),5. Gross profit from goods sold and services rendered (20=10-11),20,,"1,583,226,163,678","1,402,738,923,219",20.0,,,
6. Financial income,6. Financial income,6. Financial income,21,29,"398,549,539,613","514,154,297,322",21.0,29.0,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,30,"63,595,446,142","67,781,225,733",22.0,30.0,,
- In which: Interest expense,- In which: Interest expense,- In which: Interest expense,23,,"46,491,481,993","47,619,555,435",23.0,,,
8. Selling expenses,8. Selling expenses,8. Selling expenses,25,31,"680,555,013,769","710,286,850,451",25.0,31.0,,
9. General and administration expenses,9. General and administration expenses,9. General and administration expenses,26,31,"626,551,274,343","429,680,915,830",26.0,31.0,,
10. Operating profit (30=20+(21-22)-(25+26)),10. Operating profit (30=20+(21-22)-(25+26)),10. Operating profit (30=20+(21-22)-(25+26)),30,,"611,073,969,037","709,144,228,527",30.0,,,
11. Other income,11. Other income,11. Other income,31,,"11,519,110,836","8,786,705,678",31.0,,,
12. Other expenses,12. Other expenses,12. Other expenses,32,,"7,560,621,237","9,153,062,731",32.0,,,
13. Profit/(loss) from other activities (40=31-32),13. Profit/(loss) from other activities (40=31-32),13. Profit/(loss) from other activities (40=31-32),40,,"3,958,489,599","(366,357,053)",40.0,,,
14. Accounting profit before tax (50=30+40),14. Accounting profit before tax (50=30+40),14. Accounting profit before tax (50=30+40),50,,"615,032,458,636","708,777,871,474",50.0,,,
15. Current corporate income tax expense,15. Current corporate income tax expense,15. Current corporate income tax expense,51,32,"134,907,449,951","24,328,423,358",51.0,32.0,,
16. Deferred corporate tax (income)/expense,16. Deferred corporate tax (income)/expense,16. Deferred corporate tax (income)/expense,52,32,"(37,485,202,027)","115,711,367,371",52.0,32.0,,
17. Net profit after corporate income tax (60=50-51-52),17. Net profit after corporate income tax (60=50-51-52),17. Net profit after corporate income tax (60=50-51-52),60,,"517,610,210,712","568,738,080,745",60.0,,,
