row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm
,,,Giá gốc,VND Dự phòng,Giá gốc,VND Dự phòng,,,,
a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,,,,
Hàng mua dang đi đường,a. Hàng tồn kho > Hàng mua dang đi đường,Hàng mua dang đi đường,138.038.174.579,-,69.577.389.222,-,138038174579.0,,69577389222.0,
"Nguyên liệu, vật liệu","a. Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",450.474.860.815,(4.211.883),309.731.169.770,(73.056.320),450474860815.0,-4211883.0,309731169770.0,-73056320.0
"Công cụ, dụng cụ","a. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",3.201.787.443,-,5.298.243.692,-,3201787443.0,,5298243692.0,
"Chỉ phí sản xuất, kinh doanh dở dang","a. Hàng tồn kho > Chỉ phí sản xuất, kinh doanh dở dang","Chỉ phí sản xuất, kinh doanh dở dang",19.109.757.591,-,75.589.098.796,-,19109757591.0,,75589098796.0,
Thành phẩm,a. Hàng tồn kho > Thành phẩm,Thành phẩm,813.862.333.269,-,1.090.432.350.124,(22.332.360.042),813862333269.0,,1090432350124.0,-22332360042.0
Hàng hoá,a. Hàng tồn kho > Hàng hoá,Hàng hoá,149.178.167.543,-,262.595.186.288,-,149178167543.0,,262595186288.0,
,,,1.573.865.081.240,(4.211.883),1.813.223.437.892,(22.405.416.362),1573865081240.0,-4211883.0,1813223437892.0,-22405416362.0
"b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","a. Hàng tồn kho > b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","b. Thiết bị, vật tư, phụ tùng thay thế dài hạn",128.013.698.990,-,129.152.858.473,-,128013698990.0,,129152858473.0,
Tổng cộng,a. Hàng tồn kho > Tổng cộng,Tổng cộng,1.701.878.780.230,(4.211.883),1.942.376.296.365,(22.405.416.362),1701878780230.0,-4211883.0,1942376296365.0,-22405416362.0
