row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,"74,248,189,194","120,056,276,069",,
SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,"36,455,230,371","38,512,072,500",,
Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,"32,048,231,131","19,670,906,460",,
SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,"2,715,095,707","54,342,832,500",,
Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,"1,325,085,200",-,,
Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,"1,420,967,900","1,420,967,900",,
Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,"172,480,000",-,,
PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,"111,098,885","279,923,059",,
Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,-,"4,803,714,920",,
Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,-,"1,003,850,000",,
Pacific Petroleum Transportation Joint Stock Company,Pacific Petroleum Transportation Joint Stock Company,Pacific Petroleum Transportation Joint Stock Company,-,"19,533,730",,
Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,-,"2,475,000",,
Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,"42,551,231,164","35,378,701,865",,
Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,"37,449,900,000","35,271,597,750",,
Petrosetco Vung Tau General Services Joint Stock Company,Petrosetco Vung Tau General Services Joint Stock Company,Petrosetco Vung Tau General Services Joint Stock Company,"1,984,499,845",-,,
Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,Petro Vietnam Chemical and Services Corporation,"1,257,766,510",-,,
