row_label_raw,row_label_full,ITEMS,Codes,Current year,Prior year,numeric__Codes,numeric__Current year,numeric__Prior year
1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,,,
1. Profit before tax,1. CASH FLOWS FROM OPERATING ACTIVITIES > 1. Profit before tax,1. Profit before tax,01,"615,032,458,636","708,777,871,474",1.0,,
2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,,,
Depreciation of fixed assets and investment properties,2. Adjustments for: > Depreciation of fixed assets and investment properties,Depreciation of fixed assets and investment properties,02,"386,283,021,970","394,327,941,371",2.0,,
Provisions,2. Adjustments for: > Provisions,Provisions,03,"280,459,857,913","(423,204,632,982)",3.0,,
Foreign exchange (gain)/loss arising from translating foreign currency items,2. Adjustments for: > Foreign exchange (gain)/loss arising from translating foreign currency items,Foreign exchange (gain)/loss arising from translating foreign currency items,04,"(3,064,957,906)","764,179,887",4.0,,
Gain from investing activities,2. Adjustments for: > Gain from investing activities,Gain from investing activities,05,"(372,444,152,463)","(506,324,436,242)",5.0,,
Interest expense,2. Adjustments for: > Interest expense,Interest expense,06,"46,491,481,993","47,619,555,435",6.0,,
3. Operating profit before movements in working capital,2. Adjustments for: > 3. Operating profit before movements in working capital,3. Operating profit before movements in working capital,08,"952,757,710,143","221,960,478,943",8.0,,
Changes in receivables,2. Adjustments for: > Changes in receivables,Changes in receivables,09,"(218,831,531,248)","(31,269,827,495)",9.0,,
Changes in inventories,2. Adjustments for: > Changes in inventories,Changes in inventories,10,"240,497,516,135","1,822,954,814,541",10.0,,
Changes in payables (excluding accrued loan interest and corporate income tax payable),2. Adjustments for: > Changes in payables (excluding accrued loan interest and corporate income tax payable),Changes in payables (excluding accrued loan interest and corporate income tax payable),11,"79,565,968,001","(575,119,241,508)",11.0,,
Changes in prepaid expenses,2. Adjustments for: > Changes in prepaid expenses,Changes in prepaid expenses,12,"11,996,130,148","(23,858,742,752)",12.0,,
Interest paid,2. Adjustments for: > Interest paid,Interest paid,14,"(44,733,256,830)","(73,355,628,572)",14.0,,
Corporate income tax paid,2. Adjustments for: > Corporate income tax paid,Corporate income tax paid,15,"(54,067,136,419)","(335,670,056,362)",15.0,,
Other cash outflows,2. Adjustments for: > Other cash outflows,Other cash outflows,17,"(148,269,388,644)","(214,151,427,532)",17.0,,
Net cash generated by operating activities,2. Adjustments for: > Net cash generated by operating activities,Net cash generated by operating activities,20,"818,916,011,286","791,490,369,263",20.0,,
II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,,,
1. Acquisition and construction of fixed assets and other long-term assets,II. CASH FLOWS FROM INVESTING ACTIVITIES > 1. Acquisition and construction of fixed assets and other long-term assets,1. Acquisition and construction of fixed assets and other long-term assets,21,"(81,891,505,980)","(232,102,371,410)",21.0,,
"Proceeds from sale, disposal of fixed assets and other long-term assets","II. CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from sale, disposal of fixed assets and other long-term assets","Proceeds from sale, disposal of fixed assets and other long-term assets",22,"772,744","329,999,983",22.0,772.744,
"Cash outflow for lending, buying debt instruments of other entities","II. CASH FLOWS FROM INVESTING ACTIVITIES > Cash outflow for lending, buying debt instruments of other entities","Cash outflow for lending, buying debt instruments of other entities",23,"(17,258,000,000,000)","(9,615,000,000,000)",23.0,,
"Cash recovered from lending, selling debt instruments of other entities","II. CASH FLOWS FROM INVESTING ACTIVITIES > Cash recovered from lending, selling debt instruments of other entities","Cash recovered from lending, selling debt instruments of other entities",24,"13,179,000,000,000","11,110,000,000,000",24.0,,
"Interest earned, dividends and profits received","II. CASH FLOWS FROM INVESTING ACTIVITIES > Interest earned, dividends and profits received","Interest earned, dividends and profits received",27,"420,532,440,003","465,095,288,120",27.0,,
Net cash (used in)/generated by investing activities,II. CASH FLOWS FROM INVESTING ACTIVITIES > Net cash (used in)/generated by investing activities,Net cash (used in)/generated by investing activities,30,"(3,740,358,293,233)","1,728,322,916,693",30.0,,
