row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term,a. Short-term,a. Short-term,a. Short-term,a. Short-term,,
Payable to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 33),Payable to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 33),Payable to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 33),"127,619,090,471",-,,
Dividends payable,Dividends payable,Dividends payable,"26,777,246,159","26,615,924,759",,
Short-term deposits received,Short-term deposits received,Short-term deposits received,"4,683,994,067","4,724,201,497",,
Others,Others,Others,"21,936,778,875","18,668,755,121",,
,,,"181,017,109,572","50,008,881,377",,
In which:,In which:,In which:,In which:,In which:,,
Other short-term payables to related parties (Details stated in Note 34),Other short-term payables to related parties (Details stated in Note 34),Other short-term payables to related parties (Details stated in Note 34),"129,974,954,783","2,242,515,552",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Long-term deposits received,Long-term deposits received,Long-term deposits received,"2,664,458,000","1,667,700,000",,
,,,"2,664,458,000","1,667,700,000",,
