row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Petrosetco Assets Management Joint Stock Company,Petrosetco Assets Management Joint Stock Company,Petrosetco Assets Management Joint Stock Company,"393,548,760","16,357,680",,
PVI Holdings,PVI Holdings,PVI Holdings,"322,343,082","6,360,208,734",,
Petro Vietnam Transportation Corporation,Petro Vietnam Transportation Corporation,Petro Vietnam Transportation Corporation,"98,530,965","284,383,008",,
Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,-,"1,383,489,268",,
Advances from customers,Advances from customers,Advances from customers,"105,981,808,903","75,057,816,457",,
Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,"103,905,340,072","13,265,131,058",,
Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,"2,076,468,831","6,604,264,542",,
SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,-,"42,704,557,454",,
SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,-,"12,417,238,403",,
PVI Holdings,PVI Holdings,PVI Holdings,-,"66,625,000",,
Other short-term payables,Other short-term payables,Other short-term payables,"129,974,954,783","2,242,515,552",,
Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,"127,619,090,471",-,,
Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,Vietnam Petrochemical and Textile Fiber JSC,"2,355,864,312","2,242,515,552",,
Short-term accruals,Short-term accruals,Short-term accruals,"30,264,759,363","74,714,781,807",,
Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,"19,499,521,919","56,065,889,597",,
Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,"10,765,237,444","3,725,626,697",,
PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,-,"14,923,265,513",,
