row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Sales,Sales,Sales,"9,881,185,195,423","9,959,540,358,219",,
Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,"2,922,906,234,008","2,875,207,007,010",,
SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,"3,045,261,933,610","2,855,281,987,860",,
SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,"1,877,064,855,880","2,174,473,612,518",,
Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,"1,891,315,841,250","1,893,063,337,750",,
Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,"132,966,743,012","127,929,716,919",,
Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,Petro Vietnam Gas Joint Stock Corporation,"10,926,419,500","22,250,200,700",,
Petro Power Renewable Energy Joint Stock Company,Petro Power Renewable Energy Joint Stock Company,Petro Power Renewable Energy Joint Stock Company,"631,685,913","823,947,618",,
PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,PTSC Phu My Port Joint Stock Company,"111,482,250","195,503,355",,
Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,Vietsovpetro Joint Venture,-,"9,915,044,489",,
PTSC Thanh Hoa Port JSC,PTSC Thanh Hoa Port JSC,PTSC Thanh Hoa Port JSC,-,"400,000,000",,
Sales discounts,Sales discounts,Sales discounts,"169,155,333,187","212,599,625,509",,
Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,"63,113,949,683","61,488,531,900",,
SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,"60,209,666,493","60,306,226,996",,
