row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term,a. Short-term,a. Short-term,a. Short-term,a. Short-term,,
Insurance premiums,Insurance premiums,Insurance premiums,"6,029,512,339","5,654,446,620",,
Tools and supplies issued for use awaiting allocation,Tools and supplies issued for use awaiting allocation,Tools and supplies issued for use awaiting allocation,"439,115,422","4,341,716,070",,
Supporting services for hardware and software,Supporting services for hardware and software,Supporting services for hardware and software,"185,723,019","10,650,109,221",,
Others,Others,Others,"1,834,328,491","12,799,506,289",,
,,,"8,488,679,271","33,445,778,200",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Office repair expenses,Office repair expenses,Office repair expenses,"14,942,428,865",-,,
Tools and supplies issued for use awaiting allocation,Tools and supplies issued for use awaiting allocation,Tools and supplies issued for use awaiting allocation,"14,733,681,517","22,592,700,959",,
Others,Others,Others,"25,217,228,215","19,339,668,857",,
,,,"54,893,338,597","41,932,369,816",,
