row_label_raw,row_label_full,col_0,Locally-producedproducts,Imported anddomesticallypurchased goods,Total,numeric__Locally-producedproducts,numeric__Imported anddomesticallypurchased goods,numeric__Total
,,,VND,VND,VND,,,
Current year,Current year,Current year,Current year,Current year,Current year,,,
Net revenue,Net revenue,Net revenue,"11,052,985,243,458","1,008,961,748,501","12,061,946,991,959",,,
Cost of sales,Cost of sales,Cost of sales,"(9,513,266,894,101)","(965,453,934,180)","(10,478,720,828,281)",,,
Gross profit,Gross profit,Gross profit,"1,539,718,349,357","43,507,814,321","1,583,226,163,678",,,
Prior year,Prior year,Prior year,Prior year,Prior year,Prior year,,,
Net revenue,Net revenue,Net revenue,"10,432,243,396,736","1,137,474,431,873","11,569,717,828,609",,,
Cost of sales,Cost of sales,Cost of sales,"(9,031,768,130,598)","1,135,210,774,792)","10,166,978,905,390)",,,
Gross profit,Gross profit,Gross profit,"1,400,475,266,138","2,263,657,081","1,402,738,923,219",,,
