row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term advances from customers,a. Short-term advances from customers,a. Short-term advances from customers,a. Short-term advances from customers,a. Short-term advances from customers,,
"Hanwa Co.,Ltd.","Hanwa Co.,Ltd.","Hanwa Co.,Ltd.","35,653,213,200",-,,
"Lucky Horse Trading Co.,Ltd","Lucky Horse Trading Co.,Ltd","Lucky Horse Trading Co.,Ltd","11,578,660,000","7,327,222,000",,
Huynh Chau Private Enterprise,Huynh Chau Private Enterprise,Huynh Chau Private Enterprise,"3,000,000,000","6,618,499,680",,
"Ameropa Asia Pte., Ltd","Ameropa Asia Pte., Ltd","Ameropa Asia Pte., Ltd",-,"9,736,400,000",,
"Brio Agrochem Pte., Ltd","Brio Agrochem Pte., Ltd","Brio Agrochem Pte., Ltd",-,"8,738,495,360",,
Forplas Industry Limited,Forplas Industry Limited,Forplas Industry Limited,-,"7,076,580,000",,
Others,Others,Others,"12,005,377,712","15,628,269,908",,
,,,"62,237,250,912","55,125,466,948",,
b. Advances from related parties(Details stated in Note 34),b. Advances from related parties(Details stated in Note 34),b. Advances from related parties(Details stated in Note 34),b. Advances from related parties(Details stated in Note 34),b. Advances from related parties(Details stated in Note 34),,
,,,"105,981,808,903","75,057,816,457",,
,,,"168,219,059,815","130,183,283,405",,
