row_label_raw,row_label_full,col_0,Years,numeric__Years
Buildings and structures,Buildings and structures,Buildings and structures,5 - 25,
Machinery and equipment,Machinery and equipment,Machinery and equipment,3 - 15,
Motor vehicles,Machinery and equipment > Motor vehicles,Motor vehicles,6,6.0
Office equipment,Office equipment,Office equipment,3 - 6,
Others,Others,Others,3 - 15,
