row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Safety and production standards bonus,Safety and production standards bonus,Safety and production standards bonus,"23,777,542,365","16,439,656,286",,
"Transportation, loading and unloading expense","Transportation, loading and unloading expense","Transportation, loading and unloading expense","11,491,175,484","9,800,879,054",,
Gas expenses,Gas expenses,Gas expenses,"10,765,237,444","3,725,626,697",,
Accrued interests,Accrued interests,Accrued interests,"1,758,225,163",-,,
Accruals for construction in progress,Accruals for construction in progress,Accruals for construction in progress,-,"106,797,556,696",,
Other accruals,Other accruals,Other accruals,"71,544,354,164","99,806,374,030",,
,,,"119,336,534,620","236,570,092,763",,
In which:,In which:,In which:,In which:,In which:,,
Short-term accrued expenses with related parties (Details stated in Note 34),Short-term accrued expenses with related parties (Details stated in Note 34),Short-term accrued expenses with related parties (Details stated in Note 34),"30,264,759,363","74,714,781,807",,
