row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A.,A.,A.,CURRENT ASSETS,100,,"12,496,520,121,298","8,937,017,722,367",,100.0,,,
I.,I.,I.,Cash and cash equivalents,110,4,"586,545,559,539","881,189,688,014",,110.0,4.0,,
1.,1.,1.,Cash,111,,"586,545,559,539","402,189,688,014",,111.0,,,
2.,2.,2.,Cash equivalents,112,,,"479,000,000,000",,112.0,,,
II.,II.,II.,Short-term financial investments,120,5,"9,464,000,000,000","5,385,000,000,000",,120.0,5.0,,
1.,1.,1.,Held-to-maturity investments,123,,"9,464,000,000,000","5,385,000,000,000",,123.0,,,
III.,III.,III.,Short-term receivables,130,,"505,681,599,650","498,808,741,525",,130.0,,,
1.,1.,1.,Short-term trade receivables,131,6,"128,228,279,686","253,517,305,809",,131.0,6.0,,
2.,2.,2.,Short-term advances to suppliers,132,7,"225,888,262,810","54,795,972,621",,132.0,7.0,,
3.,3.,3.,Other short-term receivables,136,8,"534,933,070,513","414,622,832,649",,136.0,8.0,,
4.,4.,4.,Provision for short-term doubtful debts,137,9,"(383,368,013,359)","(224,127,369,554)",,137.0,9.0,,
IV.,IV.,IV.,Inventories,140,10,"1,573,860,869,357","1,790,818,021,530",,140.0,10.0,,
1.,1.,1.,Inventories,141,,"1,573,865,081,240","1,813,223,437,892",,141.0,,,
2.,2.,2.,Provision for devaluation of inventories,149,,"(4,211,883)","(22,405,416,362)",,149.0,,,
V.,V.,V.,Other short-term assets,150,,"366,432,092,752","381,201,271,298",,150.0,,,
1.,1.,1.,Short-term prepayments,151,11,"8,488,679,271","33,445,778,200",,151.0,11.0,,
2.,2.,2.,Value added tax deductibles,152,,"357,943,413,481","310,224,881,046",,152.0,,,
3.,3.,3.,Taxes and other receivables from the State budget,153,15,,"37,530,612,052",,153.0,15.0,,
