row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Sales of merchandise and services,Sales of merchandise and services,Sales of merchandise and services,Sales of merchandise and services,Sales of merchandise and services,,
Sales of fertilizers,Sales of fertilizers,Sales of fertilizers,"10,372,427,273,906","9,771,904,933,642",,
Sales of chemicals,Sales of chemicals,Sales of chemicals,"782,027,541,875","840,512,835,832",,
Others,Others,Others,"67,685,760,864","32,425,252,771",,
,,,"11,222,140,576,645","10,644,843,022,245",,
Deductions,Deductions,Deductions,Deductions,Deductions,,
Sales discount,Sales discount,Sales discount,"169,155,333,187","212,599,625,509",,
,,,"169,155,333,187","212,599,625,509",,
Net sales,Net sales,Net sales,"11,052,985,243,458","10,432,243,396,736",,
