row_label_raw,row_label_full,No > 1 > 2,Name > Phu My Fertilizer Plant > Ho Chi Minh City Branch,"Address > Phu My 1 Industrial Park, Phu My Ward, Phu My Town, Ba Ria – Vung Tau Province, Vietnam > 27 Dinh Bo Linh Street, Ward 24, Binh Thanh District, Ho Chi Minh City, Vietnam",numeric__Name > Phu My Fertilizer Plant > Ho Chi Minh City Branch,"numeric__Address > Phu My 1 Industrial Park, Phu My Ward, Phu My Town, Ba Ria – Vung Tau Province, Vietnam > 27 Dinh Bo Linh Street, Ward 24, Binh Thanh District, Ho Chi Minh City, Vietnam"
3,3,3,Cambodia Branch (i),"Phnom Penh, Cambodia",,
4,4,4,Fertilizer and Chemical Projects Management Unit,"Phu My 1 Industrial Park, Phu My Ward, Phu My Town, Ba Ria – Vung Tau Province, Vietnam",,
5,5,5,Research and Application Center,"Phu My 1 Industrial Park, Phu My Ward, Phu My Town, Ba Ria – Vung Tau Province, Vietnam",,
