row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Selling expenses,Selling expenses,Selling expenses,Selling expenses,Selling expenses,,
"Transportation, loading, unloading and storages expense","Transportation, loading, unloading and storages expense","Transportation, loading, unloading and storages expense","302,896,342,963","309,792,032,942",,
"Social security, advertisement and marketing expenses","Social security, advertisement and marketing expenses","Social security, advertisement and marketing expenses","242,386,533,089","253,541,922,520",,
Selling staff costs,Selling staff costs,Selling staff costs,"42,539,579,717","41,144,608,190",,
Others,Others,Others,"92,732,558,000","105,808,286,799",,
,,,"680,555,013,769","710,286,850,451",,
General and administration expenses,General and administration expenses,General and administration expenses,General and administration expenses,General and administration expenses,,
Administration staff costs,Administration staff costs,Administration staff costs,"168,532,105,215","149,810,151,175",,
Provision for doubtful debts,Provision for doubtful debts,Provision for doubtful debts,"159,240,643,805","(145,704,205)",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"35,328,288,679","31,014,977,448",,
Others,Others,Others,"263,450,236,644","249,001,491,412",,
,,,"626,551,274,343","429,680,915,830",,
