row_label_raw,row_label_full,Giá gốc,Dự phòng,Số cuối năm VND Giá trị hợp lý,Giá gốc_1,Dự phòng_1,Số đầu năm VND Giá trị hợp lý,numeric__Dự phòng,numeric__Số cuối năm VND Giá trị hợp lý,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Số đầu năm VND Giá trị hợp lý
90.000.000.000,90.000.000.000,90.000.000.000,-,83.700.000.000,90.000.000.000,-,88.200.000.000,,83700000000.0,90000000000.0,,88200000000.0
75.000.000.000,75.000.000.000,75.000.000.000,-,132.750.000.000,75.000.000.000,-,148.500.000.000,,132750000000.0,75000000000.0,,148500000000.0
93.750.000.000,93.750.000.000,93.750.000.000,-,92.812.500.000,93.750.000.000,-,96.562.500.000,,92812500000.0,93750000000.0,,96562500000.0
127.500.000.000,127.500.000.000,127.500.000.000,-,107.100.000.000,127.500.000.000,-,102.000.000.000,,107100000000.0,127500000000.0,,102000000000.0
386.250.000.000,386.250.000.000,386.250.000.000,-,416.362.500.000,386.250.000.000,-,435.262.500.000,,416362500000.0,386250000000.0,,435262500000.0
100.000.000.000,100.000.000.000,100.000.000.000,(100.000.000.000),(ii),100.000.000.000,(100.000.000.000),(ii),-100000000000.0,,100000000000.0,-100000000000.0,
562.700.000.000,562.700.000.000,562.700.000.000,(562.700.000.000),(ii),562.700.000.000,(562.700.000.000),(ii),-562700000000.0,,562700000000.0,-562700000000.0,
18.203.000.000,18.203.000.000,18.203.000.000,-,24.574.050.000,18.203.000.000,-,22.571.720.000,,24574050000.0,18203000000.0,,22571720000.0
680.903.000.000,680.903.000.000,680.903.000.000,(662.700.000.000),24.574.050.000,680.903.000.000,(662.700.000.000),22.571.720.000,-662700000000.0,24574050000.0,680903000000.0,-662700000000.0,22571720000.0
3.600.000.000,3.600.000.000,3.600.000.000,-,(ii),3.600.000.000,-,(ii),,,3600000000.0,,
16.902.000.000,16.902.000.000,16.902.000.000,(16.902.000.000),(ii),16.902.000.000,(16.902.000.000),(ii),-16902000000.0,,16902000000.0,-16902000000.0,
20.502.000.000,20.502.000.000,20.502.000.000,(16.902.000.000),,20.502.000.000,(16.902.000.000),,-16902000000.0,,20502000000.0,-16902000000.0,
