row_label_raw,row_label_full,col_0,Cost,Provision,-,"83,700,000,000","90,000,000,000",-_1,"88,200,000,000",numeric__Cost,numeric__Provision,numeric__-,"numeric__83,700,000,000","numeric__90,000,000,000",numeric__-_1,"numeric__88,200,000,000"
,,,"90,000,000,000",-,-,"132,750,000,000","75,000,000,000",-,"148,500,000,000",,,,,,,
Chemicals JSC (1),Chemicals JSC (1),Chemicals JSC (1),"75,000,000,000",-,-,"93,812,500,000","93,750,000,000",-,"96,562,500,000",,,,,,,
Chemicals JSC (1),Chemicals JSC (1),Chemicals JSC (1),"93,750,000,000",-,-,"92,812,500,000","93,750,000,000",-,"96,562,500,000",,,,,,,
Southwest Petroleum Fertilizer and Chemicals JSC (1),Southwest Petroleum Fertilizer and Chemicals JSC (1),Southwest Petroleum Fertilizer and Chemicals JSC (1),"127,500,000,000",-,-,"107,100,000,000","127,500,000,000",-,"102,000,000,000",,,,,,,
Investments in associates Petroleum Urban Development JSC,Southwest Petroleum Fertilizer and Chemicals JSC (1) > Investments in associates Petroleum Urban Development JSC,Investments in associates Petroleum Urban Development JSC,"100,000,000,000","(100,000,000,000)",(11),"100,000,000,000","(100,000,000,000)",(11),(11),,,-11.0,,,-11.0,-11.0
Fiber JSC,Southwest Petroleum Fertilizer and Chemicals JSC (1) > Fiber JSC,Fiber JSC,"562,700,000,000","(562,700,000,000)",(11),"562,700,000,000","(562,700,000,000)",(11),(11),,,-11.0,,,-11.0,-11.0
Dcm Pthly Packaging Joint Stock Company,Dcm Pthly Packaging Joint Stock Company,Dcm Pthly Packaging Joint Stock Company,"18,203,000,000",-,-,"24,574,050,000","18,203,000,000",-,"22,571,720,000",,,,,,,
Equity Investments in other entities Petroleum Information Technology Telecom and Automation JSC,Dcm Pthly Packaging Joint Stock Company > Equity Investments in other entities Petroleum Information Technology Telecom and Automation JSC,Equity Investments in other entities Petroleum Information Technology Telecom and Automation JSC,"3,600,000,000",-,(11),"3,600,000,000",-,(11),(11),,,-11.0,,,-11.0,-11.0
Ut X Aquatic Products Processing Corporation,Dcm Pthly Packaging Joint Stock Company > Ut X Aquatic Products Processing Corporation,Ut X Aquatic Products Processing Corporation,"16,902,000,000","(16,902,000,000)",(11),"16,902,000,000","(16,902,000,000)",(11),(11),,,-11.0,,,-11.0,-11.0
"20,502,000,000","20,502,000,000","20,502,000,000","(16,902,000,000)",,,"20,502,000,000","(16,902,000,000)",,,,,,,,,
