row_label_raw,row_label_full,col_0,RESOURCES,Codes,Notes,Closing balance,Opening balance,numeric__RESOURCES,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
C.,C.,C.,LIABILITIES,300,,"5,129,790,048,862","1,597,410,685,121",,300.0,,,
I.,I.,I.,Current liabilities,310,,"5,088,741,536,466","1,450,935,483,122",,310.0,,,
1.,1.,1.,Short-term trade payables,311,18,"701,974,749,955","793,815,596,415",,311.0,18.0,,
2.,2.,2.,Short-term advances from customers,312,19,"168,219,059,815","130,183,283,405",,312.0,19.0,,
3.,3.,3.,Taxes and amounts payable to the State budget,313,15,"51,153,338,302","3,628,717,232",,313.0,15.0,,
4.,4.,4.,Payables to employees,314,,"152,642,824,979","143,195,333,282",,314.0,,,
5.,5.,5.,Short-term accrued expenses,315,20,"119,336,534,620","236,570,092,763",,315.0,20.0,,
6.,6.,6.,Other current payables,319,21,"181,017,109,572","50,008,881,377",,319.0,21.0,,
7.,7.,7.,Short-term loans and obligations under finance leases,320,23,"3,406,130,863,029",-,,320.0,23.0,,
8.,8.,8.,Short-term provisions,321,22,"253,973,730,976","8,176,000,000",,321.0,22.0,,
9.,9.,9.,Bonus and welfare funds,322,,"54,293,325,218","85,357,578,648",,322.0,,,
II.,II.,II.,Long-term liabilities,330,,"41,048,512,396","146,475,201,999",,330.0,,,
1.,1.,1.,Other long-term payables,337,21,"2,664,458,000","1,667,700,000",,337.0,21.0,,
2.,2.,2.,Long-term provisions,342,22,-,"102,177,312,389",,342.0,22.0,,
3.,3.,3.,Scientific and technological development fund,343,,"38,384,054,396","42,630,189,610",,343.0,,,
D.,D.,D.,EQUITY,400,,"10,996,449,517,175","11,374,466,826,463",,400.0,,,
I.,I.,I.,Owners' equity,410,24,"10,996,449,517,175","11,374,466,826,463",,410.0,24.0,,
1.,1.,1.,Owners' contributed capital,411,,"3,914,000,000,000","3,914,000,000,000",,411.0,,,
,,,- Ordinary shares carrying voting rights,411a,,"3,914,000,000,000","3,914,000,000,000",,,,,
2.,2.,2.,Share premium,412,,"21,179,913,858","21,179,913,858",,412.0,,,
3.,3.,3.,Treasury shares,415,,"(2,796,824,120)","(2,296,824,120)",,415.0,,,
4.,4.,4.,Investment and development fund,418,,"4,546,954,375,352","4,546,954,375,352",,418.0,,,
5.,5.,5.,Retained earnings,421,,"2,516,612,052,085","2,894,629,361,373",,421.0,,,
,,,- Retained earnings accumulated to the prior year end,421a,,"2,105,001,841,373","2,435,891,280,639",,,,,
,,,- Retained earnings of the current year,421b,,"411,610,210,712","458,738,080,734",,,,,
,,,TOTAL RESOURCES (440=300+400),440,,"16,126,239,566,037","12,971,877,511,584",,440.0,,,
