row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,35.961.294.531,35.961.294.531,-,-,35961294531.0,35961294531.0,,
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.569.317.521,1.569.317.521,-,-,1569317521.0,1569317521.0,,
,,,37.530.612.052,37.530.612.052,-,-,37530612052.0,37530612052.0,,
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.003.420.326,26.311.599.396,26.271.153.842,1.043.865.880,1003420326.0,26311599396.0,26271153842.0,1043865880.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải nộp > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,1.003.420.326,11.236.853.466,11.196.407.912,1.043.865.880,1003420326.0,11236853466.0,11196407912.0,1043865880.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải nộp > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,15.074.745.930,15.074.745.930,-,,15074745930.0,15074745930.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,82.937.175.883,82.937.175.883,-,,82937175883.0,82937175883.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,98.946.155.420,54.067.136.419,44.879.019.001,,98946155420.0,54067136419.0,44879019001.0
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.175.082.105,66.445.853.383,63.739.309.907,4.881.625.581,2175082105.0,66445853383.0,63739309907.0,4881625581.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,330.451.200,3.886.810.080,3.883.183.440,334.077.840,330451200.0,3886810080.0,3883183440.0,334077840.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải nộp > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,119.763.601,5.410.401.039,5.515.414.640,14.750.000,119763601.0,5410401039.0,5515414640.0,14750000.0
- Thuế bảo vệ môi trường,b. Các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,119.763.601,109.059.899,214.073.500,14.750.000,119763601.0,109059899.0,214073500.0,14750000.0
- Thuế nhà đất và tiền thuê đất,b. Các khoản phải nộp > - Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,5.236.472.758,5.236.472.758,-,,5236472758.0,5236472758.0,
- Các loại thuế khác,b. Các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,-,64.868.382,64.868.382,-,,64868382.0,64868382.0,
,,,3.628.717.232,283.937.995.201,236.413.374.131,51.153.338.302,3628717232.0,283937995201.0,236413374131.0,51153338302.0
