row_label_raw,row_label_full,COST,Buildings and structures,Machinery and equipment,Motor vehicles,VND,VND_1,Others,Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Motor vehicles,numeric__VND,numeric__VND_1,numeric__Others,numeric__Total
Opening balance,Opening balance,Opening balance,"2,240,219,220,073","8,200,990,793,252","55,576,122,454","253,098,289,079","625,086,424,688","11,374,970,849,546",,,,,,,,
Transfers from Construction in Progress,Transfers from Construction in Progress,Transfers from Construction in Progress,"7,349,584,812","13,385,568,788","10,370,334,140","18,119,097,320","343,634,223","43,349,356,738",,,,,,,,
Disposals,Disposals,Disposals,"(1,326,791,333)","(2,620,640,000)","(3,627,987,283)",-,"(7,575,418,616)",,,,,,,,,
Closing balance,Closing balance,Closing balance,"2,248,699,527,152","8,223,588,585,401","63,325,816,594","267,589,399,116","631,087,768,891","11,434,291,097,154",,,,,,,,
Charge for the year,Charge for the year,Charge for the year,"79,173,603,246","6,907,086,013,985","49,934,889,863","212,122,374,841","484,351,819,086","9,235,170,902,914",,,,,,,,
Closing balance,Closing balance,Closing balance,"1,581,675,805,139","242,179,976,787","2,733,246,704","20,424,308,900","18,832,784,760","363,343,920,357",,,,,,,,
Disposals,Disposals,Disposals,"(1,326,791,333)","(2,620,640,000)","(3,627,987,283)",-,-,"(7,575,418,599)",,,,,,,,
Opening balance,Opening balance,Opening balance,"1,660,849,408,385","7,147,939,199,439","50,047,496,567","228,918,696,475","503,184,603,846","9,590,939,404,712",,,,,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,"658,543,414,934","1,293,904,779,267","5,641,232,591","40,975,914,238","140,734,605,602","2,139,799,946,632",,,,,,,,
Opening balance,Opening balance,Opening balance,"587,850,118,767","1,075,649,385,962","13,278,320,027","38,670,702,641","127,903,165,045","1,843,351,692,442",,,,,,,,
Closing balance,Closing balance,Closing balance,"587,850,118,767","1,075,649,385,962","13,278,320,027","38,670,702,641","127,903,165,045","1,843,351,692,442",,,,,,,,
