row_label_raw,row_label_full,Opening balance,Opening balance_1,In the year,In the year_1,Closing balance,Closing balance_1,numeric__Opening balance_1,numeric__In the year,numeric__In the year_1,numeric__Closing balance,numeric__Closing balance_1
VND Amount,VND Amount,VND Amount,VND Amount able to be paid off,Increases,Decreases,VND Amount,VND Amount able to be paid off,,,,,
-,-,-,-,"2,286,345,560,776","685,511,113,500","1,600,834,447,276","1,600,834,447,276",,,,,
-,-,-,-,"1,525,241,275,879","892,000,000,000","633,241,275,879","633,241,275,879",,,,,
-,-,-,-,"841,055,139,874","69,000,000,000","772,055,139,874","772,055,139,874",,,,,
-,-,-,-,"400,000,000,000",-,"400,000,000,000","400,000,000,000",,,,,
-,-,-,-,"5,052,641,976,529","1,646,511,113,500","3,406,130,863,029","3,406,130,863,029",,,,,
