row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định hữu hình khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định hữu hình khác VND,numeric__Tổng VND
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,,,,
Số dư đầu năm,NGUYÊN GIẢ > Số dư đầu năm,Số dư đầu năm,2.240.219.220.073,8.200.990.793.252,55.576.122.454,253.098.289.079,625.086.424.688,11.374.970.849.546,2240219220073.0,8200990793252.0,55576122454.0,253098289079.0,625086424688.0,11374970849546.0
Tăng trong năm,NGUYÊN GIẢ > Tăng trong năm,Tăng trong năm,1.130.722.267,13.385.568.788,10.370.334.140,18.119.097.320,343.634.223,43.349.356.738,1130722267.0,13385568788.0,10370334140.0,18119097320.0,343634223.0,43349356738.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIẢ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,7.349.584.812,10.539.014.694,-,-,5.657.709.980,23.546.309.486,7349584812.0,10539014694.0,,,5657709980.0,23546309486.0
"Thanh lý, nhượng bán","NGUYÊN GIẢ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.326.791.333),(2.620.640.000),(3.627.987.283),-,(7.575.418.616),,-1326791333.0,-2620640000.0,-3627987283.0,,-7575418616.0
Số dư cuối năm,NGUYÊN GIẢ > Số dư cuối năm,Số dư cuối năm,2.248.699.527.152,8.223.588.585.401,63.325.816.594,267.589.399.116,631.087.768.891,11.434.291.097.154,2248699527152.0,8223588585401.0,63325816594.0,267589399116.0,631087768891.0,11434291097154.0
GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.581.675.805.139,6.907.086.013.985,49.934.889.863,212.122.374.841,484.351.819.086,9.235.170.902.914,1581675805139.0,6907086013985.0,49934889863.0,212122374841.0,484351819086.0,9235170902914.0
Khẩu hao trong năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,79.173.603.246,242.179.976.787,2.733.246.704,20.424.308.900,18.832.784.760,363.343.920.397,79173603246.0,242179976787.0,2733246704.0,20424308900.0,18832784760.0,363343920397.0
"Thanh lý, nhượng bán","GIẢ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.326.791.333),(2.620.640.000),(3.627.987.266),-,(7.575.418.599),,-1326791333.0,-2620640000.0,-3627987266.0,,-7575418599.0
Số dư cuối năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.660.849.408.385,7.147.939.199.439,50.047.496.567,228.918.696.475,503.184.603.846,9.590.939.404.712,1660849408385.0,7147939199439.0,50047496567.0,228918696475.0,503184603846.0,9590939404712.0
GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,,,,,,
Tại ngày đầu năm,GIẢ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,658.543.414.934,1.293.904.779.267,5.641.232.591,40.975.914.238,140.734.605.602,2.139.799.946.632,658543414934.0,1293904779267.0,5641232591.0,40975914238.0,140734605602.0,2139799946632.0
Tại ngày cuối năm,GIẢ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,587.850.118.767,1.075.649.385.962,13.278.320.027,38.670.702.641,127.903.165.045,1.843.351.692.442,587850118767.0,1075649385962.0,13278320027.0,38670702641.0,127903165045.0,1843351692442.0
