row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,VNDCarrying amount,Cost,VNDCarrying amount,,,,,,
Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,,,,,
Term deposits,Term deposits,Term deposits,"9,464,000,000,000","9,464,000,000,000","5,385,000,000,000","5,385,000,000,000",,,,,,
