row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term advances to suppliers which are not from related parties,a. Short-term advances to suppliers which are not from related parties,a. Short-term advances to suppliers which are not from related parties,a. Short-term advances to suppliers which are not from related parties,a. Short-term advances to suppliers which are not from related parties,,
"Tri Viet Trading Engineering Co., Ltd","Tri Viet Trading Engineering Co., Ltd","Tri Viet Trading Engineering Co., Ltd","122,190,000,000",-,,
BORSIG Process Heat Exchange GmbH,BORSIG Process Heat Exchange GmbH,BORSIG Process Heat Exchange GmbH,"17,067,491,200",-,,
Mico Mineral Industry Joint Stock Company,Mico Mineral Industry Joint Stock Company,Mico Mineral Industry Joint Stock Company,-,"3,220,800,000",,
Others,Others,Others,"44,079,540,446","16,196,470,756",,
,,,"183,337,031,646","19,417,270,756",,
b. Advances to related parties(Details stated in Note 34),b. Advances to related parties(Details stated in Note 34),b. Advances to related parties(Details stated in Note 34),b. Advances to related parties(Details stated in Note 34),b. Advances to related parties(Details stated in Note 34),,
,,,"42,551,231,164","35,378,701,865",,
Total,Total,Total,"225,888,262,810","54,795,972,621",,
