row_label_raw,row_label_full,col_0,Opening balance,Payable during the year,Paid during the year,Closing balance,numeric__Opening balance,numeric__Payable during the year,numeric__Paid during the year,numeric__Closing balance
,,,VND,VND,VND,VND,,,,
a. Receivables,a. Receivables,a. Receivables,a. Receivables,a. Receivables,a. Receivables,a. Receivables,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"35,961,294,531","35,961,294,531",-,-,,,,
Personal income tax,Personal income tax,Personal income tax,"1,569,317,521","1,569,317,521",-,-,,,,
,,,"37,530,612,052","37,530,612,052",-,-,,,,
b. Payables,b. Payables,b. Payables,b. Payables,b. Payables,b. Payables,b. Payables,,,,
Value added tax,Value added tax,Value added tax,"1,003,420,326","25,311,599,396","26,271,153,842","1,043,865,880",,,,
- VAT on domestic goods,- VAT on domestic goods,- VAT on domestic goods,"1,003,420,326","11,236,853,466","11,196,407,912","1,043,865,880",,,,
- VAT on imports,- VAT on imports,- VAT on imports,-,"15,074,745,930","15,074,745,930",-,,,,
Import-export duties,Import-export duties,Import-export duties,-,"82,937,175,883","82,937,175,883",-,,,,
Corporate income tax,Corporate income tax,Corporate income tax,-,"98,946,155,420","54,067,136,419","44,879,019,001",,,,
Personal income tax,Personal income tax,Personal income tax,"2,175,082,105","66,445,853,383","63,739,309,907","4,881,625,581",,,,
Natural resource tax,Natural resource tax,Natural resource tax,"330,451,200","3,886,810,080","3,883,183,440","334,077,840",,,,
,,,"119,763,601","5,410,401,039","5,515,414,640","14,750,000",,,,
Environmental protection tax and other taxes,Environmental protection tax and other taxes,Environmental protection tax and other taxes,Environmental protection tax and other taxes,Environmental protection tax and other taxes,Environmental protection tax and other taxes,Environmental protection tax and other taxes,,,,
- Environmental protection tax,- Environmental protection tax,- Environmental protection tax,"119,763,601","109,059,899","214,073,500","14,750,000",,,,
- Property tax and land rental,- Property tax and land rental,- Property tax and land rental,-,"5,236,472,758","5,236,472,758",-,,,,
- Other taxes,- Other taxes,- Other taxes,-,"64,868,382","64,868,382",-,,,,
,,,"3,628,717,232","283,937,995,201","236,413,374,131","51,153,338,302",,,,
