row_label_raw,row_label_full,col_0,Số đầu năm,Số phải trả trong năm,Số đã nộp/ cán trừ trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số phải trả trong năm,numeric__Số đã nộp/ cán trừ trong năm,numeric__VND Số cuối năm
Thuế GTGT,Thuế GTGT,Thuế GTGT,44.021.479.368,254.570.696.582,(282.592.071.305),16.000.104.645,44021479368.0,254570696582.0,-282592071305.0,16000104645.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,35.457.269.006,109.727.818.855,(117.287.587.342),27.897.500.519,35457269006.0,109727818855.0,-117287587342.0,27897500519.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.570.569.743,18.329.505.378,(19.976.125.979),5.923.949.142,7570569743.0,18329505378.0,-19976125979.0,5923949142.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,12.593.018.812,54.330.200.671,(62.526.437.124),4.396.782.359,12593018812.0,54330200671.0,-62526437124.0,4396782359.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",919.544.849,3.802.975.135,(4.429.729.343),292.790.641,919544849.0,3802975135.0,-4429729343.0,292790641.0
"Thuế, phí khác","Thuế, phí khác","Thuế, phí khác",4.207.758.130,43.985.627.952,(46.242.215.561),1.951.170.521,4207758130.0,43985627952.0,-46242215561.0,1951170521.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,104.769.639.908,484.746.824.573,(533.054.166.654),56.462.297.827,104769639908.0,484746824573.0,-533054166654.0,56462297827.0
