row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng cổ phiếu/ Tỷ lệ sở hữu,Số cuối năm > Giá trị VND,Số đầu năm > Số lượng cổ phiếu/ Tỷ lệ sở hữu,Số đầu năm > Giá trị VND,numeric__Số cuối năm > Số lượng cổ phiếu/ Tỷ lệ sở hữu,numeric__Số cuối năm > Giá trị VND,numeric__Số đầu năm > Số lượng cổ phiếu/ Tỷ lệ sở hữu,numeric__Số đầu năm > Giá trị VND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,19.500.000.000,,-,,19500000000.0,,
Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),"65,00%",19.500.000.000,-,-,0.65,19500000000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,10.200.000.000,,23.970.000.000,,10200000000.0,,23970000000.0
Công ty TNHH Nguyễn Quang Sài Gòn Ô tô (**),Công ty TNHH Nguyễn Quang Sài Gòn Ô tô (**),Công ty TNHH Nguyễn Quang Sài Gòn Ô tô (**),"24,00%",10.200.000.000,"24,00%",10.200.000.000,0.24,10200000000.0,0.24,10200000000.0
Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),Công ty TNHH Đầu tư Phát triển Bất Động sản Trường Thọ (*),-,-,"45,90%",13.770.000.000,,,0.45899999999999996,13770000000.0
Đầu tư vào các công ty khác (***),Đầu tư vào các công ty khác (***),Đầu tư vào các công ty khác (***),3.010.000,29.549.100.000,3.010.000,29.414.000.000,3010000.0,29549100000.0,3010000.0,29414000000.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,2.310.000,42.000.000.000,2.310.000,42.000.000.000,2310000.0,42000000000.0,2310000.0,42000000000.0
Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,700.000,14.000.000.000,700.000,14.000.000.000,700000.0,14000000000.0,700000.0,14000000000.0
Dự phòng giảm giá đầu tư vào công ty khác,Dự phòng giảm giá đầu tư vào công ty khác,Dự phòng giảm giá đầu tư vào công ty khác,,(26.450.900.000),,(26.586.000.000),,-26450900000.0,,-26586000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,59.249.100.000,,53.384.000.000,,59249100000.0,,53384000000.0
