row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Vận tải Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Chi phí vận chuyển,(64.767.843.503),(68.319.356.850),,,-64767843503.0,-68319356850.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Phí tư vấn Mua vỏ bao,(61.540.395.981) -,(68.553.315.787) (853.288.436),,,,
Công ty TNHH MTV Xi măng Hạ Long,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Bên liên quan,Phí gia công,(32.431.296.995),(57.873.623.530),,,-32431296995.0,-57873623530.0
Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiểu thụ và Dịch vụ,Tổng Công ty Công nghiệp Xi măng Việt Nam > Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiểu thụ và Dịch vụ,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiểu thụ và Dịch vụ,Bên liên quan,Phí gia công,(3.713.502.375),-,,,-3713502375.0,
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Bên liên quan,Chi phí vận chuyển,(3.268.615.790),(2.383.951.610),,,-3268615790.0,-2383951610.0
Công ty Cổ phần Bao bì Hà Tiên,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Bên liên quan,Mua vỏ bao,(2.523.259.867),(4.137.540.000),,,-2523259867.0,-4137540000.0
Công ty Tư vấn Đầu tư Phát triển Xi măng,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Bên liên quan,Phí tư vấn,(2.314.121.030),(2.175.100.425),,,-2314121030.0,-2175100425.0
Công ty Cổ phần Vicem Thạch Cao Xi măng,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Cổ phần Vicem Thạch Cao Xi măng,Công ty Cổ phần Vicem Thạch Cao Xi măng,Bên liên quan,Mua thạch cao,(2.128.500.000),(4.468.786.740),,,-2128500000.0,-4468786740.0
Nhà Máy Vật liệu Chiu lửa Kiềm tính Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam > Nhà Máy Vật liệu Chiu lửa Kiềm tính Việt Nam,Nhà Máy Vật liệu Chiu lửa Kiềm tính Việt Nam,Bên liên quan,Mua gạch,(1.630.418.405),(1.529.628.100),,,-1630418405.0,-1529628100.0
Công ty Cổ phần Vicem Vật tư Vận tải Xi măng,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Cổ phần Vicem Vật tư Vận tải Xi măng,Công ty Cổ phần Vicem Vật tư Vận tải Xi măng,Bên liên quan,Mua than,-,(22.696.460.820),,,,-22696460820.0
Công ty Cổ phần Xi măng Bìm Sơn,Tổng Công ty Công nghiệp Xi măng Việt Nam > Công ty Cổ phần Xi măng Bìm Sơn,Công ty Cổ phần Xi măng Bìm Sơn,Bên liên quan,Mua clinker,-,(9.557.952.304),,,,-9557952304.0
Viện Công Nghệ Xi măng Vicem,Tổng Công ty Công nghiệp Xi măng Việt Nam > Viện Công Nghệ Xi măng Vicem,Viện Công Nghệ Xi măng Vicem,Bên liên quan,Phí đào tạo,-,(171.918.000),,,,-171918000.0
,,,,,(174.317.953.946),(242.720.922.602),,,-174317953946.0,-242720922602.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Chi phí phải trả ngắn hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí lãi vay,(309.977.025),(314.282.262),,,-309977025.0,-314282262.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Vay dài hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Vay dài hạn,(17.568.573.607),(17.568.573.607),,,-17568573607.0,-17568573607.0
