row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,8.850.850.245.919,8.757.009.785.645,8850850245919.0,8757009785645.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Xỉ măng, clinker","Trong đó: > Xỉ măng, clinker","Xỉ măng, clinker",8.818.373.747.982,8.656.558.986.546,8818373747982.0,8656558986546.0
"Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ","Trong đó: > Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ","Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ",32.476.497.937,100.450.799.099,32476497937.0,100450799099.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(641.893.471.300),(520.324.767.060),-641893471300.0,-520324767060.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(641.893.471.300),(520.324.767.060),-641893471300.0,-520324767060.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,8.208.956.774.619,8.236.685.018.585,8208956774619.0,8236685018585.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Xỉ măng, clinker","Trong đó: > Xỉ măng, clinker","Xỉ măng, clinker",8.176.480.276.682,8.136.234.219.486,8176480276682.0,8136234219486.0
"Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ","Trong đó: > Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ","Vừa xỉ măng xây dựng, gạch các loại, cát,vật liệu phụ và các dịch vụ",32.476.497.937,100.450.799.099,32476497937.0,100450799099.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với bên khác,Trong đó: > Doanh thu với bên khác,Doanh thu với bên khác,8.175.058.491.941,8.204.910.390.904,8175058491941.0,8204910390904.0
Doanh thu với bên liên quan,Trong đó: > Doanh thu với bên liên quan,Doanh thu với bên liên quan,33.898.282.678,31.774.627.681,33898282678.0,31774627681.0
