row_label_raw,row_label_full,col_0,Số cuối năm VND,Ngày đáo hạn,numeric__Số cuối năm VND,numeric__Ngày đáo hạn
BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),,
Khoản vay số 1,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 1,Khoản vay số 1,73.974.999.987,Ngày 15 tháng 8 năm 2021,73974999987.0,
Khoản vay số 2,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 2,Khoản vay số 2,86.525.000.000,Ngày 15 tháng 8 năm 2021,86525000000.0,
Khoản vay số 3,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 3,Khoản vay số 3,64.400.000.000,Ngày 1 tháng 4 năm 2022,64400000000.0,
Khoản vay số 4,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 4,Khoản vay số 4,127.820.589.774,Ngày 22 tháng 6 năm 2020,127820589774.0,
Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),BIDV – Chi nhánh Sở Giao dịch II (i) > Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),1.399.933.888.973,Ngày 26 tháng 10 năm 2022,1399933888973.0,
Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),,
Khoản vay số 1,Ngân hàng Société Générale (iii) > Khoản vay số 1,Khoản vay số 1,72.412.437.542,Ngày 7 tháng 11 năm 2019,72412437542.0,
Khoản vay số 2,Ngân hàng Société Générale (iii) > Khoản vay số 2,Khoản vay số 2,278.673.922.634,Ngày 7 tháng 11 năm 2019,278673922634.0,
Khoản vay số 3,Ngân hàng Société Générale (iii) > Khoản vay số 3,Khoản vay số 3,174.147.272.489,Ngày 28 tháng 2 năm 2020,174147272489.0,
Khoản vay số 4,Ngân hàng Société Générale (iii) > Khoản vay số 4,Khoản vay số 4,88.800.145.151,Ngày 26 tháng 2 năm 2020,88800145151.0,
