row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Số cuối nămVND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Lợi nhuận nộp về ngân sách Nhà nước,Phải nộp > Lợi nhuận nộp về ngân sách Nhà nước,Lợi nhuận nộp về ngân sách Nhà nước,41.325.809.797,-,(41.325.809.797),-,41325809797.0,,-41325809797.0,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.037.180.232,68.743.422.119,(69.779.012.271),2.001.590.080,3037180232.0,68743422119.0,-69779012271.0,2001590080.0
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,131.122.283,(131.122.283),-,,131122283.0,-131122283.0,
Thuế thu nhập doanh nghiệp (*) (Thuyết minh số 4 và 37),Phải nộp > Thuế thu nhập doanh nghiệp (*) (Thuyết minh số 4 và 37),Thuế thu nhập doanh nghiệp (*) (Thuyết minh số 4 và 37),6.623.713.522,30.186.544.320,(21.199.659.465),15.610.598.377,6623713522.0,30186544320.0,-21199659465.0,15610598377.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,834.893.297,10.865.938.916,(11.174.193.360),526.638.853,834893297.0,10865938916.0,-11174193360.0,526638853.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.499.323.473,15.154.109.056,(15.802.276.989),1.851.155.540,2499323473.0,15154109056.0,-15802276989.0,1851155540.0
Thuế đất phi nông nghiệp,Phải nộp > Thuế đất phi nông nghiệp,Thuế đất phi nông nghiệp,1.111.151.610,517.794.061,(1.628.945.671),-,1111151610.0,517794061.0,-1628945671.0,
"Các loại thuế, phí và các khoản phải nộp ngân sách Nhà nước khác","Phải nộp > Các loại thuế, phí và các khoản phải nộp ngân sách Nhà nước khác","Các loại thuế, phí và các khoản phải nộp ngân sách Nhà nước khác",134.017.993.550,1.613.717.964,(134.589.955.121),1.041.756.393,134017993550.0,1613717964.0,-134589955121.0,1041756393.0
,,,189.450.065.481,127.212.648.719,(295.630.974.957),21.031.739.243,189450065481.0,127212648719.0,-295630974957.0,21031739243.0
