row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu %,numeric__Tỷ lệ quyền biểu quyết %,numeric__Hoạt động chính
1,1,1,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Quảng Ngãi,"100,00%","100,00%",Trồng rừng và chăm sóc rừng,,,1.0,1.0,
2,2,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,Lạng Sơn,"100,00%","100,00%",Trồng rừng và chăm sóc rừng,,,1.0,1.0,
3,3,3,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Lạng Sơn,"100,00%","100,00%",Trồng rừng và chăm sóc rừng,,,1.0,1.0,
4,4,4,Công ty TNHH MTV Lâm nghiệp La Ngà - Đông Nai,Đồng Nai,"100,00%","100,00%",Trồng rừng và chăm sóc rừng,,,1.0,1.0,
5,5,5,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Lạng Sơn,"100,00%","100,00%",Trồng rừng và chăm sóc rừng,,,1.0,1.0,
6,6,6,Công ty TNHH MTV Ván dán Vinafor Bắc Giang (*),Bắc Giang,"100,00%","100,00%","Sản xuất, chế biến gỗ",,,1.0,1.0,
7,7,7,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Hà Tĩnh,"85,00%","85,00%","Thu mua, khai thác, chế biến lâm sản xuất khẩu và tiêu thụ nội địa",,,0.85,0.85,
8,8,8,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Phú Thọ,"79,86%","79,86%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.7986,0.7986,
9,9,9,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Quảng Bình,"73,04%","73,04%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.7304,0.7304,
10,10,10,Công ty Cổ phần Vinafor Tây Nguyên,Đắk Lắk,"68,58%","68,58%","Xây dựng công trình dân dụng, công nghiệp",,,0.6858,0.6858,
11,11,11,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Lạng Sơn,"67,69%","67,69%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.6769,0.6769,
12,12,12,Công ty Cổ phần Vinafor Vinh,Nghệ An,"63,21%","63,21%","Chế biến gỗ, lâm sản",,,0.6321,0.6321,
13,13,13,Công ty Cổ phần Long Bình,Đồng Nai,"61,89%","61,89%",Công nghiệp chế biến gỗ và lâm sản,,,0.6189,0.6189,
14,14,14,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Bình Định,"51,84%","51,84%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.5184000000000001,0.5184000000000001,
15,15,15,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,TP. Hồ Chí Minh,"51,69%","51,69%",Sản phẩm sản xuất khác từ gỗ,,,0.5169,0.5169,
16,16,16,Công ty Cổ phần Vinafor Đà Nẵng,TP. Đà Nẵng,"51,01%","51,01%","Bán buôn nông, lâm sản nguyên liệu",,,0.5101,0.5101,
17,17,17,Công ty Cổ phần Cẩm Hà,Quảng Nam,"51,00%","51,00%",Sản xuất sản phẩm từ gỗ,,,0.51,0.51,
18,18,18,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,TP. Hồ Chí Minh,"51,00%","51,00%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.51,0.51,
19,19,19,Công ty Cổ phần Giống Lâm nghiệp vùng Tây nguyên,Lâm Đồng,"51,00%","51,00%","Sản xuất và cung ứng các loại hạt giống, cây giống",,,0.51,0.51,
