row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốcVND,Dư phòngVND,Giá gốcVND,Dư phòngVND,,,,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,34.264.828.179,-,19.211.807.203,-,34264828179.0,,19211807203.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",105.827.558.975,(141.276.389),91.739.971.829,(39.294.461),105827558975.0,-141276389.0,91739971829.0,-39294461.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.010.495.853,-,1.889.639.891,-,3010495853.0,,1889639891.0,
"Chi phí sản xuất, kinh doanh dở dang (*)","Chi phí sản xuất, kinh doanh dở dang (*)","Chi phí sản xuất, kinh doanh dở dang (*)",544.674.463.898,(15.277.824.474),463.787.994.884,(12.501.721.855),544674463898.0,-15277824474.0,463787994884.0,-12501721855.0
Dự án Eco Lakeview (**),Dự án Eco Lakeview (**),Dự án Eco Lakeview (**),147.363.482.467,-,-,-,147363482467.0,,,
Dự án Vạn Phúc - Hà Đông (***),Dự án Vạn Phúc - Hà Đông (***),Dự án Vạn Phúc - Hà Đông (***),-,-,54.109.090.909,-,,,54109090909.0,
Thành phẩm,Thành phẩm,Thành phẩm,68.667.830.502,(1.727.241.574),42.425.874.335,(838.250.975),68667830502.0,-1727241574.0,42425874335.0,-838250975.0
Hàng hoá,Hàng hoá,Hàng hoá,87.183.760.203,-,62.680.463.023,(1.041.176.392),87183760203.0,,62680463023.0,-1041176392.0
Công,Công,Công,990.992.420.077,(17.146.342.437),735.844.842.074,(14.420.443.683),990992420077.0,-17146342437.0,735844842074.0,-14420443683.0
