row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh 26.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh 26.1),Vay ngắn hạn ngân hàng(Thuyết minh 26.1),142.187.499.045,142.187.499.045,547.450.169.345,526.901.808.119,162.735.860.271,162.735.860.271,142187499045.0,142187499045.0,547450169345.0,526901808119.0,162735860271.0,162735860271.0
"Vay cá nhân, vay khác (*)","Vay ngắn hạn > Vay cá nhân, vay khác (*)","Vay cá nhân, vay khác (*)",7.650.000.000,7.650.000.000,425.000.000,123.300.000,7.951.700.000,7.951.700.000,7650000000.0,7650000000.0,425000000.0,123300000.0,7951700000.0,7951700000.0
Vay và nợ dài hạn đến hạn trả(Thuyết minh 26.2),Vay ngắn hạn > Vay và nợ dài hạn đến hạn trả(Thuyết minh 26.2),Vay và nợ dài hạn đến hạn trả(Thuyết minh 26.2),17.671.210.798,17.671.210.798,1.884.623.898,16.338.050.800,3.217.783.896,3.217.783.896,17671210798.0,17671210798.0,1884623898.0,16338050800.0,3217783896.0,3217783896.0
,,,167.508.709.843,167.508.709.843,549.759.793.243,543.363.158.919,173.905.344.167,173.905.344.167,167508709843.0,167508709843.0,549759793243.0,543363158919.0,173905344167.0,173905344167.0
,,,Số đầu năm,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số cuối năm,Số cuối năm,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay Ngân hàng(Thuyết minh số 26.2),Vay dài hạn > Vay Ngân hàng(Thuyết minh số 26.2),Vay Ngân hàng(Thuyết minh số 26.2),13.570.553.058,13.570.553.058,410.000.000,2.042.123.898,11.938.429.160,11.938.429.160,13570553058.0,13570553058.0,410000000.0,2042123898.0,11938429160.0,11938429160.0
Vay đối tượng khác (**),Vay dài hạn > Vay đối tượng khác (**),Vay đối tượng khác (**),469.736.000,469.736.000,-,-,469.736.000,469.736.000,469736000.0,469736000.0,,,469736000.0,469736000.0
,,,14.040.289.058,14.040.289.058,410.000.000,2.042.123.898,12.408.165.160,12.408.165.160,14040289058.0,14040289058.0,410000000.0,2042123898.0,12408165160.0,12408165160.0
