row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản,Công ty liên kết,
Naforimex Hà Nội,Naforimex Hà Nội,Naforimex Hà Nội,,
Công ty Cổ phần 19/5 Đoan Hùng,Công ty Cổ phần 19/5 Đoan Hùng,Công ty Cổ phần 19/5 Đoan Hùng,Công ty liên kết,
Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,Công ty liên kết,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty liên kết,
Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty liên kết,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty liên kết,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,
Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty liên kết,
Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty liên kết,
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,
Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty liên kết,
Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,Công ty liên kết,
Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty liên kết,
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty liên kết,
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty liên kết,
Công ty Cổ phần Nguyên liệu Giấy và Gỗ Tân Thành,Công ty Cổ phần Nguyên liệu Giấy và Gỗ Tân Thành,Công ty Cổ phần Nguyên liệu Giấy và Gỗ Tân Thành,Công ty liên kết,
Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,Công ty liên kết,
Công ty Cổ phần Vinafor Quảng Trị,Công ty Cổ phần Vinafor Quảng Trị,Công ty Cổ phần Vinafor Quảng Trị,Công ty liên kết,
Công ty Cổ phần Chế biến Lâm sản Xuất khẩu Pisico Huế,Công ty Cổ phần Chế biến Lâm sản Xuất khẩu Pisico Huế,Công ty Cổ phần Chế biến Lâm sản Xuất khẩu Pisico Huế,Công ty liên kết,
Công ty TNHH Ván dán OJI-Vinafor Bắc Giang,Công ty TNHH Ván dán OJI-Vinafor Bắc Giang,Công ty TNHH Ván dán OJI-Vinafor Bắc Giang,Công ty liên kết,
