row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,363.491.541.233,401.843.619.303,50.926.731.082,63.555.608.336,7.513.534.254,887.331.034.208,363491541233.0,401843619303.0,50926731082.0,63555608336.0,7513534254.0,887331034208.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,9.140.233.366,-,-,-,-,9.140.233.366,9140233366.0,,,,,9140233366.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,4.542.992.769,16.874.900.373,2.209.098.455,595.490.909,-,24.222.482.506,4542992769.0,16874900373.0,2209098455.0,595490909.0,,24222482506.0
Tăng do chuyển đổi Công tyTNHH MTV Ván dán Vinafor BắcGiang thành công ty con (Thuyếtminh số 4),NGUYÊN GIÁ > Tăng do chuyển đổi Công tyTNHH MTV Ván dán Vinafor BắcGiang thành công ty con (Thuyếtminh số 4),Tăng do chuyển đổi Công tyTNHH MTV Ván dán Vinafor BắcGiang thành công ty con (Thuyếtminh số 4),67.973.201.603,32.843.625.955,750.000.000,-,-,101.566.827.558,67973201603.0,32843625955.0,750000000.0,,,101566827558.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,156.418.416,(156.418.416),-,-,-,,156418416.0,-156418416.0,,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(498.427.806),(2.501.544.922),(3.162.411.824),(501.343.545),(63.172.385),(6.726.900.482),-498427806.0,-2501544922.0,-3162411824.0,-501343545.0,-63172385.0,-6726900482.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(1.350.564.721),(112.514.477),(215.309.220),(296.923.770),(90.000.000),(2.065.312.188),-1350564721.0,-112514477.0,-215309220.0,-296923770.0,-90000000.0,-2065312188.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,443.298.976.444,449.104.504.648,50.351.690.077,63.352.831.930,7.360.361.869,1.013.468.364.968,443298976444.0,449104504648.0,50351690077.0,63352831930.0,7360361869.0,1013468364968.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,227.510.929.571,346.286.332.519,32.212.473.067,44.304.934.300,5.805.948.093,656.120.617.550,227510929571.0,346286332519.0,32212473067.0,44304934300.0,5805948093.0,656120617550.0
