row_label_raw,row_label_full,Năm 2017 > Số đầu năm > Tăng trong năm > Lợi nhuận thuần trong năm,Lợi ích thuộc cổ đông Công ty mẹ > Vốn góp của chủ sở hữuVND > 3.500.000.000.000 > -,Lợi ích thuộc cổ đông Công ty mẹ > Chênh lệch tỷ giá hối đoáiVND > 1.591.717.162 > -,Lợi ích thuộc cổ đông Công ty mẹ > Quỹ đầu tư phát triểnVND > 1.439.592.624 > -,Lợi ích thuộc cổ đông Công ty mẹ > Quỹ khác thuộc vốn chủ sở hữuVND > 48.852.285 > -,Lợi ích thuộc cổ đông Công ty mẹ > Lợi nhuận sau thuế chưa phân phốiVND > 364.746.973.329 > - > 1.080.300.360.843,Tổng cộng > 63.141.922.508 > 3.764.670.000 > 10.887.904.817,Lợi ích cổ đông không kiểm soátVND > 3.930.969.057.908 > 3.764.670.000 > 1.091.188.265.660,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Vốn góp của chủ sở hữuVND > 3.500.000.000.000 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Chênh lệch tỷ giá hối đoáiVND > 1.591.717.162 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Quỹ đầu tư phát triểnVND > 1.439.592.624 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Quỹ khác thuộc vốn chủ sở hữuVND > 48.852.285 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Lợi nhuận sau thuế chưa phân phốiVND > 364.746.973.329 > - > 1.080.300.360.843,numeric__Tổng cộng > 63.141.922.508 > 3.764.670.000 > 10.887.904.817,numeric__Lợi ích cổ đông không kiểm soátVND > 3.930.969.057.908 > 3.764.670.000 > 1.091.188.265.660
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,3.549.001.584,-,(3.549.001.584),-,-,,,3549001584.0,,-3549001584.0,,
Quyết định chia cổ tức cho cổ đông,Quyết định chia cổ tức cho cổ đông,Quyết định chia cổ tức cho cổ đông,-,-,-,-,-,(6.823.639.016),(6.823.639.016),,,,,,-6823639016.0,-6823639016.0
"Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành",-,-,-,-,(21.712.849.070),-,(21.712.849.070),,,,,-21712849070.0,,-21712849070.0
Khác,Khác,Khác,-,(304.220.092),-,-,(1.041.728.167),(1.842.025.925),(3.187.974.184),,-304220092.0,,,-1041728167.0,-1842025925.0,-3187974184.0
Số cuối năm,Số cuối năm,Số cuối năm,3.500.000.000.000,1.287.497.070,4.988.594.208,48.852.285,1.418.743.755.351,69.128.832.384,4.994.197.531.298,3500000000000.0,1287497070.0,4988594208.0,48852285.0,1418743755351.0,69128832384.0,4994197531298.0
