row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Kinh doanh gỗ,Bán thành phẩm,Doanh thu khác,Tổng bộ phận đã báo cáo,Loại trừ,Đơn vị: VND,numeric__Hoạt động khai thác trồng rừng,numeric__Kinh doanh gỗ,numeric__Bán thành phẩm,numeric__Doanh thu khác,numeric__Tổng bộ phận đã báo cáo,numeric__Loại trừ,numeric__Đơn vị: VND
,,,Hoạt động khai thác trồng rừng,Kinh doanh gỗ,Bán thành phẩm,Doanh thu khác,Tổng bộ phận đã báo cáo,Loại trừ,Tổng cộng,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,,,
1. Doanh thu thuãn từ bán hàng ra bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 1. Doanh thu thuãn từ bán hàng ra bên ngoài,1. Doanh thu thuãn từ bán hàng ra bên ngoài,107.379.795.548,854.612.235.452,804.509.978.896,122.351.155.726,1.888.853.165.622,-,1.888.853.165.622,107379795548.0,854612235452.0,804509978896.0,122351155726.0,1888853165622.0,,1888853165622.0
2. Doanh thu thuãn từ bán hàng trong nội bộ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 2. Doanh thu thuãn từ bán hàng trong nội bộ,2. Doanh thu thuãn từ bán hàng trong nội bộ,3.277.513.435,5.158.596.308,21.977.600,-,8.458.087.343,(8.458.087.343),-,3277513435.0,5158596308.0,21977600.0,,8458087343.0,-8458087343.0,
3. Khẫu hao và chi phí phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 3. Khẫu hao và chi phí phân bổ,3. Khẫu hao và chi phí phân bổ,61.424.322.668,831.525.035.950,659.494.697.850,72.852.181.241,1.625.296.237.709,-,1.625.296.237.709,61424322668.0,831525035950.0,659494697850.0,72852181241.0,1625296237709.0,,1625296237709.0
4. Lợi nhuận gộp của bộ phận,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 4. Lợi nhuận gộp của bộ phận,4. Lợi nhuận gộp của bộ phận,49.232.986.315,28.245.795.810,145.037.258.646,49.498.974.485,272.015.015.256,(8.458.087.343),263.556.927.913,49232986315.0,28245795810.0,145037258646.0,49498974485.0,272015015256.0,-8458087343.0,263556927913.0
5. Tổng chi phí phát sinh để mua tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 5. Tổng chi phí phát sinh để mua tài sản cố định,5. Tổng chi phí phát sinh để mua tài sản cố định,,,,,,,41.318.536.079,,,,,,,41318536079.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,,,
6. Tài sản bộ phận,6. Tài sản bộ phận,6. Tài sản bộ phận,,,,,,,-,,,,,,,
7. Tài sản không phân bổ,6. Tài sản bộ phận > 7. Tài sản không phân bổ,7. Tài sản không phân bổ,,,,,,,5.707.183.927.327,,,,,,,5707183927327.0
Tổng tài sản,6. Tài sản bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,5.707.183.927.327,,,,,,,5707183927327.0
8. Nợ phải trả bộ phận,8. Nợ phải trả bộ phận,8. Nợ phải trả bộ phận,,,,,,,-,,,,,,,
9. Nợ phải trả không phân bổ,8. Nợ phải trả bộ phận > 9. Nợ phải trả không phân bổ,9. Nợ phải trả không phân bổ,,,,,,,711.885.618.719,,,,,,,711885618719.0
Tổng nợ phải trả,8. Nợ phải trả bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,711.885.618.719,,,,,,,711885618719.0
