row_label_raw,row_label_full,Năm 2018 > Số đầu năm > Lợi nhuận thuần trong năm,Lợi ích thuộc cổ đông Công ty mẹ > Vốn góp của chủ sở hữu > VND > 3.500.000.000.000 > -,Lợi ích thuộc cổ đông Công ty mẹ > Chênh lệch tỷ giá hõi đoái > VND > 1.287.497.070 > -,Lợi ích thuộc cổ đông Công ty mẹ > Quỹ đầu tư phát triển > VND > 4.988.594.208 > -,Lợi ích thuộc cổ đông Công ty mẹ > Quỹ khác thuộc vốn chủ sở hữu > VND > 48.852.285 > -,Lợi ích thuộc cổ đông Công ty mẹ > Lợi nhuận sau thuế chưa phân phối > VND > 1.418.743.755.351 > 849.491.021.919,Lợi ích thuộc cổ đông Công ty mẹ > Lợi ích cổ đông không kiểm soát > VND > 69.128.832.384 > 11.006.505.896,Lợi ích thuộc cổ đông Công ty mẹ > Tổng công > VND > 4.994.197.531.298 > 860.497.527.815,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Vốn góp của chủ sở hữu > VND > 3.500.000.000.000 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Chênh lệch tỷ giá hõi đoái > VND > 1.287.497.070 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Quỹ đầu tư phát triển > VND > 4.988.594.208 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Quỹ khác thuộc vốn chủ sở hữu > VND > 48.852.285 > -,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Lợi nhuận sau thuế chưa phân phối > VND > 1.418.743.755.351 > 849.491.021.919,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Lợi ích cổ đông không kiểm soát > VND > 69.128.832.384 > 11.006.505.896,numeric__Lợi ích thuộc cổ đông Công ty mẹ > Tổng công > VND > 4.994.197.531.298 > 860.497.527.815
Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),-,-,36.173.391.742,-,(36.173.391.742),-,-,,,36173391742.0,,-36173391742.0,,
Quyết định chia cổ tức cho cổ đông (*),Quyết định chia cổ tức cho cổ đông (*),Quyết định chia cổ tức cho cổ đông (*),-,-,-,-,(349.923.717.948),(6.593.222.421),(356.516.940.369),,,,,-349923717948.0,-6593222421.0,-356516940369.0
"Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành (*)","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành (*)","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban Điều hành (*)",-,-,-,-,(51.581.502.459),(2.514.569.894),(54.096.072.353),,,,,-51581502459.0,-2514569894.0,-54096072353.0
Hoàn nhập dự phòng cho vay đầu năm dỗi với Công ty TNHH MTV,Hoàn nhập dự phòng cho vay đầu năm dỗi với Công ty TNHH MTV,Hoàn nhập dự phòng cho vay đầu năm dỗi với Công ty TNHH MTV,-,-,-,-,8.078.346.225,-,8.078.346.225,,,,,8078346225.0,,8078346225.0
Ván dán Vinafor Bắc Giang,Ván dán Vinafor Bắc Giang,Ván dán Vinafor Bắc Giang,,,,,,,,,,,,,,
Khác,Ván dán Vinafor Bắc Giang > Khác,Khác,-,626.855.354,-,-,(2.091.099.945),(66.909.263),(1.531.153.854),,626855354.0,,,-2091099945.0,-66909263.0,-1531153854.0
Số cuối năm,Ván dán Vinafor Bắc Giang > Số cuối năm,Số cuối năm,3.500.000.000.000,1.914.352.424,41.161.985.950,48.852.285,1.836.543.411.401,70.960.636.702,5.450.629.238.762,3500000000000.0,1914352424.0,41161985950.0,48852285.0,1836543411401.0,70960636702.0,5450629238762.0
