row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Quân Đội - Chi nhánh Quảng Ngãi,Số cuối năm (VND) > 600.000.000,Số đầu năm (VND) > 1.400.000.000,Kỳ hạn trả gốc và lãi > Ngày trả nợ gốc và lãi cuối cùng ngày 12 tháng 3 năm 2019,"Lãi suất > 7,5%-7,7%/năm",Hình thức đảm bảo > Giá trị còn lại của cây xăng và công trình xây dựng của Công ty TNHH MTV Lâm nghiệp Ba Tđ,numeric__Số cuối năm (VND) > 600.000.000,numeric__Số đầu năm (VND) > 1.400.000.000,numeric__Kỳ hạn trả gốc và lãi > Ngày trả nợ gốc và lãi cuối cùng ngày 12 tháng 3 năm 2019,"numeric__Lãi suất > 7,5%-7,7%/năm",numeric__Hình thức đảm bảo > Giá trị còn lại của cây xăng và công trình xây dựng của Công ty TNHH MTV Lâm nghiệp Ba Tđ
Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Ba Tđ,Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Ba Tđ,Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Ba Tđ,-,1.000.000.000,Đã đáo hạn,Đã đáo hạn,Đã đáo hạn,,1000000000.0,,,
Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,60.760.125.574,47.310.520.820,Kỳ hạn 9 tháng. Ngày trả nợ gốc và lãi cuối cùng là ngày 25 tháng 9 năm 2019,Lãi suất thả nổi có điều chỉnh,"Tài sản đảm bảo bao gõm máy móc thiết bị, phương tiện vận tải, nhà xuống của Công ty Cổ phần Cẩm Hà",60760125574.0,47310520820.0,,,
Ngân hàng TMCP Công Thương - Chi nhánh Hội An,Ngân hàng TMCP Công Thương - Chi nhánh Hội An,Ngân hàng TMCP Công Thương - Chi nhánh Hội An,19.030.313.848,20.921.633.436,Kỳ hạn 9 tháng. Ngày trả nợ gốc và lãi cuối cùng là ngày 07 tháng 5 năm 2019,Lãi suất thả nổi có điều chỉnh,Bảo đảm bằng quyền đổi nợ và hàng hóa của Công ty Cổ phần Cẩm Hà,19030313848.0,20921633436.0,,,
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,47.491.126.145,49.209.853.659,Ngày trả nợ gốc và lãi cuối cùng ngày 26 tháng 6 năm 2019,"7,5%/ năm",Thế chấp bằng xe ô tô theo Hợp đồng thể chấp Phương tiện Giao thông Đường bộ số 0282/NHNT-SME/16 của Công ty Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,47491126145.0,49209853659.0,,,
Ngân hàng Đầu tư và Phát triển - Chi nhánh Hải Vân,Ngân hàng Đầu tư và Phát triển - Chi nhánh Hải Vân,Ngân hàng Đầu tư và Phát triển - Chi nhánh Hải Vân,34.854.294.704,20.345.491.130,Kỳ hạn 6 tháng. Ngày trả nợ gốc và lãi cuối cùng là ngày 26 tháng 6 năm 2019,Không xác định,"Hàng tôn kho, máy móc thiết bị, nhà xuống khu công nghiệp Hòa Khánh, số quyền sử dụng đất số 39-41 Nguyễn Thái Học của Công ty Cổ phần Vinafor Đà Nẵng",34854294704.0,20345491130.0,,,
Ngân hàng TMCP Việt Nam Thương Tín,Ngân hàng TMCP Việt Nam Thương Tín,Ngân hàng TMCP Việt Nam Thương Tín,-,2.000.000.000,Đã đáo hạn,Đã đáo hạn,Đã đáo hạn,,2000000000.0,,,
