row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VNDNăm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,30.1,1.849.208.071.073,1.891.668.168.167,1.0,301.0,1849208071073.0,1891668168167.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,1.472.439.227,2.815.002.545,2.0,,1472439227.0,2815002545.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,1.847.735.631.846,1.888.853.165.622,10.0,,1847735631846.0,1888853165622.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,31,1.593.160.124.826,1.625.296.237.709,11.0,31.0,1593160124826.0,1625296237709.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,254.575.507.020,263.556.927.913,20.0,,254575507020.0,263556927913.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30.2,174.249.196.829,125.606.891.620,21.0,302.0,174249196829.0,125606891620.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,13.235.877.149,10.831.568.344,22.0,32.0,13235877149.0,10831568344.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,9.589.605.241,8.481.995.913,23.0,,9589605241.0,8481995913.0
"8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết",24,,761.540.040.848,1.012.853.065.775,24.0,,761540040848.0,1012853065775.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,33,74.281.810.892,75.895.269.605,25.0,33.0,74281810892.0,75895269605.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33,245.819.815.809,214.260.339.029,26.0,33.0,245819815809.0,214260339029.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,857.027.240.847,1.101.029.708.330,30.0,,857027240847.0,1101029708330.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,46.345.690.317,15.676.073.240,31.0,34.0,46345690317.0,15676073240.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,11.016.299.895,6.702.197.340,32.0,35.0,11016299895.0,6702197340.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,35.329.390.422,8.973.875.900,40.0,,35329390422.0,8973875900.0
15. Tổng lợi nhuận kể toán trước thuế (50=30+40),15. Tổng lợi nhuận kể toán trước thuế (50=30+40),15. Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,892.356.631.269,1.110.003.584.230,50.0,,892356631269.0,1110003584230.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37,29.725.225.963,16.088.271.981,51.0,37.0,29725225963.0,16088271981.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,37,2.133.877.491,2.727.046.589,52.0,37.0,2133877491.0,2727046589.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,860.497.527.815,1.091.188.265.660,60.0,,860497527815.0,1091188265660.0
18.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,18.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,18.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,,849.491.021.919,1.080.300.360.843,61.0,,849491021919.0,1080300360843.0
18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,11.006.505.896,10.887.904.817,62.0,,11006505896.0,10887904817.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,40,,3.003,70.0,40.0,,3003.0
