row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua,Các điều chỉnh giá trị hợp lý,Giá trị ghi nhận tại thời điểm mua,numeric__Giá trị ghi số trước thời điểm mua,numeric__Các điều chỉnh giá trị hợp lý,numeric__Giá trị ghi nhận tại thời điểm mua
,,,VND,VND,VND,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.363.569.331,-,1.363.569.331,1363569331.0,,1363569331.0
Tài sản cố định(Thuyết minh số 15),Tài sản cố định(Thuyết minh số 15),Tài sản cố định(Thuyết minh số 15),134.356.122.882,(32.789.295.324),101.566.827.558,134356122882.0,-32789295324.0,101566827558.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.705.147.995,(589.423.575),1.115.724.420,1705147995.0,-589423575.0,1115724420.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,36.502.097.289,(529.273.334),35.972.823.955,36502097289.0,-529273334.0,35972823955.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,44.498.205,-,44.498.205,44498205.0,,44498205.0
Tài sản thuế TNDN hoãn lại(Thuyết minh số 37),Tài sản thuế TNDN hoãn lại(Thuyết minh số 37),Tài sản thuế TNDN hoãn lại(Thuyết minh số 37),-,6.781.598.447,6.781.598.447,,6781598447.0,6781598447.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,35.805.076,-,35.805.076,35805076.0,,35805076.0
Thuế TNDN hiện hành phải trả(Thuyết minh số 14),Thuế TNDN hiện hành phải trả(Thuyết minh số 14),Thuế TNDN hiện hành phải trả(Thuyết minh số 14),(1.596.923.725),-,(1.596.923.725),-1596923725.0,,-1596923725.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(71.824.858.944),-,(71.824.858.944),-71824858944.0,,-71824858944.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(41.199.970.514),-,(41.199.970.514),-41199970514.0,,-41199970514.0
Tài sản thuần có thế xác định được,Tài sản thuần có thế xác định được,Tài sản thuần có thế xác định được,59.385.487.595,(27.126.393.786),32.259.093.809,59385487595.0,-27126393786.0,32259093809.0
Khoản tiên thanh toán cho việc mua lại,Khoản tiên thanh toán cho việc mua lại,Khoản tiên thanh toán cho việc mua lại,,,2.267.958,,,2267958.0
Giá trị hợp lý của 40% đầu tư trước đó của Tổng Công ty,Giá trị hợp lý của 40% đầu tư trước đó của Tổng Công ty,Giá trị hợp lý của 40% đầu tư trước đó của Tổng Công ty,,,1.511.972,,,1511972.0
Tổng giá phí để sở hữu 100% vốn góp,Tổng giá phí để sở hữu 100% vốn góp,Tổng giá phí để sở hữu 100% vốn góp,,,3.779.930,,,3779930.0
Bất lợi thương mại (Thuyết minh số 34),Bất lợi thương mại (Thuyết minh số 34),Bất lợi thương mại (Thuyết minh số 34),,,(32.255.313.879),,,-32255313879.0
