row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Dự phòngVND,Số đầu năm > Giá trịVND,Số đầu năm > Dự phòngVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Dự phòngVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,,,
Phải thu lãi tiền gửi ngân hàng,a. Ngắn hạn > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,82.590.039.051,-,70.243.601.825,-,82590039051.0,,70243601825.0,
Phải thu các đối thi công và xưởng chế biến khai thác,a. Ngắn hạn > Phải thu các đối thi công và xưởng chế biến khai thác,Phải thu các đối thi công và xưởng chế biến khai thác,18.392.758.872,(15.749.017.722),20.567.177.327,(15.181.579.505),18392758872.0,-15749017722.0,20567177327.0,-15181579505.0
Phải thu từ cổ phần hóa các công ty liên kết,a. Ngắn hạn > Phải thu từ cổ phần hóa các công ty liên kết,Phải thu từ cổ phần hóa các công ty liên kết,4.183.789.314,(3.293.543.389),4.132.441.494,(3.309.753.389),4183789314.0,-3293543389.0,4132441494.0,-3309753389.0
"Thu hồi vốn đầu tư của phân diện tích rừng bị tổn thất, khai thác (*)","a. Ngắn hạn > Thu hồi vốn đầu tư của phân diện tích rừng bị tổn thất, khai thác (*)","Thu hồi vốn đầu tư của phân diện tích rừng bị tổn thất, khai thác (*)",280.681.362,(213.763.081),1.358.025.974,(1.025.753.377),280681362.0,-213763081.0,1358025974.0,-1025753377.0
Phải thu về cổ tức và lợi nhuận được chia,a. Ngắn hạn > Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,2.477.783.509,-,135.000.000,-,2477783509.0,,135000000.0,
Tạm ứng cho nhân viên,a. Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,7.754.914.871,(109.584.048),11.432.479.747,(109.584.048),7754914871.0,-109584048.0,11432479747.0,-109584048.0
"Ký cược, ký quỹ","a. Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",1.444.216.506,-,745.294.420,-,1444216506.0,,745294420.0,
Phải thu khác,a. Ngắn hạn > Phải thu khác,Phải thu khác,9.334.259.298,(1.736.573.904),10.276.663.424,(301.711.215),9334259298.0,-1736573904.0,10276663424.0,-301711215.0
,,,126.458.442.783,(21.102.482.144),118.890.684.211,(19.928.381.534),126458442783.0,-21102482144.0,118890684211.0,-19928381534.0
Trong đó: Phải thu ngắn hạn khác là các bên liên quan (được trình bày tại Thuyết minh số 39),a. Ngắn hạn > Trong đó: Phải thu ngắn hạn khác là các bên liên quan (được trình bày tại Thuyết minh số 39),Trong đó: Phải thu ngắn hạn khác là các bên liên quan (được trình bày tại Thuyết minh số 39),4.036.752.796,-,4.051.053.264,-,4036752796.0,,4051053264.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,,,
"Ký cược, ký quỹ","b. Dài hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",1.785.902.310,-,1.895.083.569,-,1785902310.0,,1895083569.0,
Đầu tư dự án liên doanh trồng rừng (**),b. Dài hạn > Đầu tư dự án liên doanh trồng rừng (**),Đầu tư dự án liên doanh trồng rừng (**),4.587.667.539,-,5.130.806.568,-,4587667539.0,,5130806568.0,
Phải thu dài hạn khác,b. Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,13.000.000,-,1.550.000,-,13000000.0,,1550000.0,
,,,6.386.569.849,-,7.027.440.137,-,6386569849.0,,7027440137.0,
