row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,22.665.199.898,1.351.600.000,22.841.451.182,46.858.251.080,22665199898.0,1351600000.0,22841451182.0,46858251080.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,-,58.000.000,58.000.000,,,58000000.0,58000000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,22.665.199.898,1.351.600.000,22.899.451.182,46.916.251.080,22665199898.0,1351600000.0,22899451182.0,46916251080.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,3.077.427.584,335.304.143,21.301.348.551,24.714.080.278,3077427584.0,335304143.0,21301348551.0,24714080278.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,413.304.672,245.215.164,265.005.508,923.525.344,413304672.0,245215164.0,265005508.0,923525344.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,3.490.732.256,580.519.307,21.566.354.059,25.637.605.622,3490732256.0,580519307.0,21566354059.0,25637605622.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,19.587.772.314,1.016.295.857,1.540.102.631,22.144.170.802,19587772314.0,1016295857.0,1540102631.0,22144170802.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,19.174.467.642,771.080.693,1.333.097.123,21.278.645.458,19174467642.0,771080693.0,1333097123.0,21278645458.0
