row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,2.043.988.631.153,2.292.787.199.736,,200.0,,2043988631153.0,2292787199736.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,6.386.569.849,60.914.018.471,,210.0,,6386569849.0,60914018471.0
I.,I.,I.,1. Phải thu vẽ cho vay dài hạn,215,9,21.000.000,53.907.578.334,,215.0,9.0,21000000.0,53907578334.0
I.,I.,I.,2. Phải thu dài hạn khác,216,10,6.386.569.849,7.027.440.137,,216.0,10.0,6386569849.0,7027440137.0
I.,I.,I.,3. Dự phòng phải thu dài hạn khó đòi,219,11,(21.000.000),(21.000.000),,219.0,11.0,-21000000.0,-21000000.0
II.,II.,II.,Tài sản cố định,220,,331.809.126.767,253.354.587.460,,220.0,,331809126767.0,253354587460.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,15,310.530.481.309,231.210.416.658,,221.0,15.0,310530481309.0,231210416658.0
II.,II.,II.,- Nguyên giá,222,,1.013.468.364.968,887.331.034.208,,222.0,,1013468364968.0,887331034208.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(702.937.883.659),(656.120.617.550),,223.0,,-702937883659.0,-656120617550.0
II.,II.,II.,2. Tài sản cố định vô hình,227,16,21.278.645.458,22.144.170.802,,227.0,16.0,21278645458.0,22144170802.0
II.,II.,II.,- Nguyên giá,228,,46.916.251.080,46.858.251.080,,228.0,,46916251080.0,46858251080.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(25.637.605.622),(24.714.080.278),,229.0,,-25637605622.0,-24714080278.0
III.,III.,III.,Bắt động sản đầu tư,230,17,161.665.646.020,171.656.858.099,,230.0,17.0,161665646020.0,171656858099.0
III.,III.,III.,- Nguyên giá,231,,225.614.221.363,225.511.719.448,,231.0,,225614221363.0,225511719448.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(63.948.575.343),(53.854.861.349),,232.0,,-63948575343.0,-53854861349.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,23.053.255.460,167.328.860.684,,240.0,,23053255460.0,167328860684.0
IV.,IV.,IV.,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,18,11.000.000.000,147.363.482.467,,241.0,18.0,11000000000.0,147363482467.0
IV.,IV.,IV.,2. Chi phí xây dựng cơ bản dở dang,242,19,12.053.255.460,19.965.378.217,,242.0,19.0,12053255460.0,19965378217.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,20,1.448.024.886.560,1.594.423.463.439,,250.0,20.0,1448024886560.0,1594423463439.0
V.,V.,V.,1. Đầu tư vào công ty liên kết,252,20.1,1.425.200.179.599,1.574.786.630.650,,252.0,201.0,1425200179599.0,1574786630650.0
V.,V.,V.,2. Đầu tư góp vốn vào đơn vị khác,253,20.2,22.609.706.961,19.636.832.789,,253.0,202.0,22609706961.0,19636832789.0
V.,V.,V.,3. Đầu tư nằm giữ đến ngày đáo hạn,255,,215.000.000,-,,255.0,,215000000.0,
VI.,VI.,VI.,Tài sản dài hạn khác,260,,73.049.146.497,45.109.411.583,,260.0,,73049146497.0,45109411583.0
VI.,VI.,VI.,1. Chi phí trả trước dài hạn,261,13,65.242.035.270,44.365.805.863,,261.0,13.0,65242035270.0,44365805863.0
VI.,VI.,VI.,2. Tài sản thuê thu nhập hoãn lại,262,37,7.807.111.227,743.605.720,,262.0,37.0,7807111227.0,743605720.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,5.996.450.805.643,5.707.183.927.327,,270.0,,5996450805643.0,5707183927327.0
