row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Dự phòng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,Phải thu ngắn hạn khó có khả năng thu hồi,,,,,,
Phải thu về cho vay,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu về cho vay,Phải thu về cho vay,9.271.475.500,3.126.266.386,(6.145.209.114),24.663.022.916,14.565.090.135,(10.097.932.781),9271475500.0,3126266386.0,-6145209114.0,24663022916.0,14565090135.0,-10097932781.0
Phải thu khách hàng,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu khách hàng,Phải thu khách hàng,16.872.508.871,8.911.010.284,(7.961.498.587),6.671.408.579,749.240.976,(5.922.167.603),16872508871.0,8911010284.0,-7961498587.0,6671408579.0,749240976.0,-5922167603.0
Trả trước cho người bán,Phải thu ngắn hạn khó có khả năng thu hồi > Trả trước cho người bán,Trả trước cho người bán,524.635.784,-,(524.635.784),1.533.371.784,-,(1.533.371.784),524635784.0,,-524635784.0,1533371784.0,,-1533371784.0
Phải thu các đội thi công,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu các đội thi công,Phải thu các đội thi công,18.188.258.872,2.439.241.150,(15.749.017.722),20.567.177.327,5.385.597.822,(15.181.579.505),18188258872.0,2439241150.0,-15749017722.0,20567177327.0,5385597822.0,-15181579505.0
Phải thu về cổ phần hóa,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,3.415.397.609,121.854.220,(3.293.543.389),3.325.963.389,16.210.000,(3.309.753.389),3415397609.0,121854220.0,-3293543389.0,3325963389.0,16210000.0,-3309753389.0
Phải thu vốn đầu tư diện tích rừng trồng bị tổn thất,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu vốn đầu tư diện tích rừng trồng bị tổn thất,Phải thu vốn đầu tư diện tích rừng trồng bị tổn thất,280.681.362,66.918.281,(213.763.081),1.358.025.974,332.272.597,(1.025.753.377),280681362.0,66918281.0,-213763081.0,1358025974.0,332272597.0,-1025753377.0
Tạm ứng,Phải thu ngắn hạn khó có khả năng thu hồi > Tạm ứng,Tạm ứng,109.584.048,-,(109.584.048),109.584.048,-,(109.584.048),109584048.0,,-109584048.0,109584048.0,,-109584048.0
Phải thu khác,Phải thu ngắn hạn khó có khả năng thu hồi > Phải thu khác,Phải thu khác,1.736.573.904,-,(1.736.573.904),301.711.215,-,(301.711.215),1736573904.0,,-1736573904.0,301711215.0,,-301711215.0
,,,50.399.115.950,14.665.290.321,(35.733.825.629),58.530.265.232,21.048.411.530,(37.481.853.702),50399115950.0,14665290321.0,-35733825629.0,58530265232.0,21048411530.0,-37481853702.0
Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,Phải thu dài hạn khó có khả năng thu hồi,,,,,,
Phải thu về cho vay,Phải thu dài hạn khó có khả năng thu hồi > Phải thu về cho vay,Phải thu về cho vay,21.000.000,-,(21.000.000),21.000.000,-,(21.000.000),21000000.0,,-21000000.0,21000000.0,,-21000000.0
,,,21.000.000,-,(21.000.000),21.000.000,-,(21.000.000),21000000.0,,-21000000.0,21000000.0,,-21000000.0
