row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020VND,Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2020VND,numeric__Ngày 31 tháng 12năm 2019VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,
Dự thu lãi tiền gửi,Phải thu > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,185.782.235.612,16.618.038.348,185782235612.0,16618038348.0
Dự thu lãi trái phiếu,Phải thu > Dự thu lãi trái phiếu,Dự thu lãi trái phiếu,3.759.287.665,21.793.489.356,3759287665.0,21793489356.0
"Dự thu cổ tức, lợi nhuận được chia","Phải thu > Dự thu cổ tức, lợi nhuận được chia","Dự thu cổ tức, lợi nhuận được chia",609.733.491.719,749.050.518.249,609733491719.0,749050518249.0
Lợi nhuận từ Bảo Việt Nhân thọ,Phải thu > Lợi nhuận từ Bảo Việt Nhân thọ,Lợi nhuận từ Bảo Việt Nhân thọ,520.160.000.000,654.629.358.389,520160000000.0,654629358389.0
Lợi nhuận từ Bảo hiểm Bảo Việt,Phải thu > Lợi nhuận từ Bảo hiểm Bảo Việt,Lợi nhuận từ Bảo hiểm Bảo Việt,48.405.000.000,61.217.196.023,48405000000.0,61217196023.0
Lợi nhuận từ BVF,Phải thu > Lợi nhuận từ BVF,Lợi nhuận từ BVF,30.435.000.000,13.778.237.429,30435000000.0,13778237429.0
Lợi nhuận từ BVInvest,Phải thu > Lợi nhuận từ BVInvest,Lợi nhuận từ BVInvest,5.769.110.719,19.425.726.408,5769110719.0,19425726408.0
Cổ tức khác,Phải thu > Cổ tức khác,Cổ tức khác,4.964.381.000,-,4964381000.0,
,,,799.275.014.996,787.462.045.953,799275014996.0,787462045953.0
