row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,65.277.664.448,70.790.285.715,65277664448.0,70790285715.0
Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,1.204.346.460,5.564.284.927,1204346460.0,5564284927.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,13.857.428.027,14.257.167.215,13857428027.0,14257167215.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",110.840.102,398.104.856,110840102.0,398104856.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,1.799.672.652,1.423.788.144,1799672652.0,1423788144.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,5.982.937.500,5.023.826.137,5982937500.0,5023826137.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,62.487.931.306,72.899.792.719,62487931306.0,72899792719.0
"- Chi tuyển truyền, quảng cáo","- Chi tuyển truyền, quảng cáo","- Chi tuyển truyền, quảng cáo",8.608.052.998,9.724.057.457,8608052998.0,9724057457.0
- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,25.761.956.465,25.828.210.153,25761956465.0,25828210153.0
- Chi khác,- Chi khác,- Chi khác,28.117.921.843,37.347.525.109,28117921843.0,37347525109.0
Chi phí quản lý khác,Chi phí quản lý khác,Chi phí quản lý khác,28.097.185.033,34.532.017.858,28097185033.0,34532017858.0
"- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí",12.747.673.477,15.537.037.759,12747673477.0,15537037759.0
"- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế",2.020.492.350,2.457.975.368,2020492350.0,2457975368.0
- Chi bảo hiểm con người và bảo hiểm tài sản,- Chi bảo hiểm con người và bảo hiểm tài sản,- Chi bảo hiểm con người và bảo hiểm tài sản,5.736.629.327,5.853.700.216,5736629327.0,5853700216.0
- Chi khác,- Chi khác,- Chi khác,7.592.389.879,10.683.304.515,7592389879.0,10683304515.0
,,,178.818.005.528,204.889.267.571,178818005528.0,204889267571.0
