row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND
Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,1.065.556.415.529,1.307.028.090.587,1065556415529.0,1307028090587.0
- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,373.465.465,1.199.489.760,373465465.0,1199489760.0
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,270.622.306.531,58.555.878.041,270622306531.0,58555878041.0
- Lãi trái phiếu,- Lãi trái phiếu,- Lãi trái phiếu,75.785.492.493,97.206.330.840,75785492493.0,97206330840.0
- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,717.777.283.554,1.108.188.368.742,717777283554.0,1108188368742.0
- (Lỗ)/lãi chênh lệch tỷ giá chưa thực hiện,- (Lỗ)/lãi chênh lệch tỷ giá chưa thực hiện,- (Lỗ)/lãi chênh lệch tỷ giá chưa thực hiện,(1.339.514),3.395.879,-1339514.0,3395879.0
- Lãi đầu tư chứng khoán,- Lãi đầu tư chứng khoán,- Lãi đầu tư chứng khoán,999.207.000,41.874.627.325,999207000.0,41874627325.0
Dịch vụ đào tạo,Dịch vụ đào tạo,Dịch vụ đào tạo,2.978.558.500,3.679.222.088,2978558500.0,3679222088.0
Cho thuê văn phòng,Cho thuê văn phòng,Cho thuê văn phòng,70.479.621.537,70.639.466.934,70479621537.0,70639466934.0
Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,269.911.801.016,180.289.929.158,269911801016.0,180289929158.0
,,,1.408.926.396.582,1.561.636.708.767,1408926396582.0,1561636708767.0
