row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020 > Giá gốc VND,Ngày 31 tháng 12 năm 2020 > Giá trị ghi số VND,Ngày 31 tháng 12 năm 2019 > Giá gốc VND,Ngày 31 tháng 12 năm 2019 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2020 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị ghi số VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),3.548.000.000.000,3.384.000.000.000,746.000.000.000,582.000.000.000,3548000000000.0,3384000000000.0,746000000000.0,582000000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),154.709.500.000,-,354.709.500.000,200.000.000.000,154709500000.0,,354709500000.0,200000000000.0
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,154.709.500.000,-,354.709.500.000,200.000.000.000,154709500000.0,,354709500000.0,200000000000.0
,,,3.702.709.500.000,3.384.000.000.000,1.100.709.500.000,782.000.000.000,3702709500000.0,3384000000000.0,1100709500000.0,782000000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (***),Dài hạn > Tiền gửi (***),Tiền gửi (***),110.000.000.000,110.000.000.000,1.020.000.000.000,1.020.000.000.000,110000000000.0,110000000000.0,1020000000000.0,1020000000000.0
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),859.570.878.525,859.570.878.525,859.055.932.773,859.055.932.773,859570878525.0,859570878525.0,859055932773.0,859055932773.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,859.570.878.525,859.570.878.525,859.055.932.773,859.055.932.773,859570878525.0,859570878525.0,859055932773.0,859055932773.0
,,,969.570.878.525,969.570.878.525,1.879.055.932.773,1.879.055.932.773,969570878525.0,969570878525.0,1879055932773.0,1879055932773.0
,,,4.672.280.378.525,4.353.570.878.525,2.979.765.432.773,2.661.055.932.773,4672280378525.0,4353570878525.0,2979765432773.0,2661055932773.0
