row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thuếchưa phân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__Tổng cộngVND
Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,7.008.864.340.000,3.713.080.881.197,569.685.816.478,2.181.700.237.355,13.473.331.275.030,7008864340000.0,3713080881197.0,569685816478.0,2181700237355.0,13473331275030.0
- Chia cổ tức cho năm 2018,- Chia cổ tức cho năm 2018,- Chia cổ tức cho năm 2018,-,-,-,(700.886.434.000),(700.886.434.000),,,,-700886434000.0,-700886434000.0
- Trích Quỹ Khen thưởng phúc lợi,- Trích Quỹ Khen thưởng phúc lợi,- Trích Quỹ Khen thưởng phúc lợi,-,-,-,(32.760.910.000),(32.760.910.000),,,,-32760910000.0,-32760910000.0
- Trích Quỹ Phục vụ hoạt động An sinh xã hội,- Trích Quỹ Phục vụ hoạt động An sinh xã hội,- Trích Quỹ Phục vụ hoạt động An sinh xã hội,-,-,-,(10.519.000.000),(10.519.000.000),,,,-10519000000.0,-10519000000.0
- Trích Quỹ Đầu tư phát triển,- Trích Quỹ Đầu tư phát triển,- Trích Quỹ Đầu tư phát triển,-,-,157.780.000.000,(157.780.000.000),-,,,157780000000.0,-157780000000.0,
- Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,- Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,- Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,414.363.300.000,3.597.377.861.610,-,-,4.011.741.161.610,414363300000.0,3597377861610.0,,,4011741161610.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.084.316.950.545,1.084.316.950.545,,,,1084316950545.0,1084316950545.0
- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.040.000.000),(2.040.000.000),,,,-2040000000.0,-2040000000.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,74.500.001,74.500.001,,,,74500001.0,74500001.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,7.423.227.640.000,7.310.458.742.807,727.465.816.478,2.362.105.343.901,17.823.257.543.186,7423227640000.0,7310458742807.0,727465816478.0,2362105343901.0,17823257543186.0
- Chia cổ tức cho năm 2019,- Chia cổ tức cho năm 2019,- Chia cổ tức cho năm 2019,-,-,-,(593.858.211.200),(593.858.211.200),,,,-593858211200.0,-593858211200.0
- Trích Quỹ khen thưởng phúc lợi (*),- Trích Quỹ khen thưởng phúc lợi (*),- Trích Quỹ khen thưởng phúc lợi (*),-,-,-,(33.203.549.136),(33.203.549.136),,,,-33203549136.0,-33203549136.0
- Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),- Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),- Trích Quỹ Phục vụ hoạt động An sinh xã hội (*),-,-,-,(10.843.169.505),(10.843.169.505),,,,-10843169505.0,-10843169505.0
- Trích Quỹ Đầu tư phát triển (*),- Trích Quỹ Đầu tư phát triển (*),- Trích Quỹ Đầu tư phát triển (*),-,-,162.648.000.000,(162.648.000.000),-,,,162648000000.0,-162648000000.0,
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.011.715.583.775,1.011.715.583.775,,,,1011715583775.0,1011715583775.0
- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thù lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(1.754.413.793),(1.754.413.793),,,,-1754413793.0,-1754413793.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,7.423.227.640.000,7.310.458.742.807,890.113.816.478,2.571.513.584.042,18.195.313.783.327,7423227640000.0,7310458742807.0,890113816478.0,2571513584042.0,18195313783327.0
