row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,63.135.267.200,354.048.505.301,417.183.772.501,63135267200.0,354048505301.0,417183772501.0
- Tăng trong năm,Nguyên giá > - Tăng trong năm,- Tăng trong năm,-,18.025.000.000,18.025.000.000,,18025000000.0,18025000000.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,12.904.000,12.904.000,,12904000.0,12904000.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,63.135.267.200,372.086.409.301,435.221.676.501,63135267200.0,372086409301.0,435221676501.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hết khấu hao,Trong đó: > Đã hết khấu hao,Đã hết khấu hao,-,62.165.329.619,62.165.329.619,,62165329619.0,62165329619.0
Không sử dụng,Trong đó: > Không sử dụng,Không sử dụng,-,190.000.000,190.000.000,,190000000.0,190000000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Ngày 31 tháng 12 năm 2019,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,27.553.689.020,82.748.276.597,110.301.965.617,27553689020.0,82748276597.0,110301965617.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,1.708.119.868,42.095.787.945,43.803.907.813,1708119868.0,42095787945.0,43803907813.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,29.261.808.888,124.844.064.542,154.105.873.430,29261808888.0,124844064542.0,154105873430.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,35.581.578.180,271.300.228.704,306.881.806.884,35581578180.0,271300228704.0,306881806884.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,33.873.458.312,247.242.344.759,281.115.803.071,33873458312.0,247242344759.0,281115803071.0
