row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019
,,,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,"1. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu",,-,4.011.741.161.610,,,,4011741161610.0
33,33,33,2. Tiền thu từ tiền vay,,43.572.470.000,86.691.238.500,,,43572470000.0,86691238500.0
34,34,34,3. Tiền chi trả nợ gốc vay,,(59.535.873.286),(1.360.000.000),,,-59535873286.0,-1360000000.0
36,36,36,"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(592.843.450.920),(700.031.543.900),,,-592843450920.0,-700031543900.0
40,40,40,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,,(608.806.854.206),3.397.040.856.210,,,-608806854206.0,3397040856210.0
50,50,50,Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),,(2.251.485.258.857),2.488.161.341.265,,,-2251485258857.0,2488161341265.0
60,60,60,Tiền và tương đương tiền đầu năm,,2.536.206.569.386,48.041.832.242,,,2536206569386.0,48041832242.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(1.339.514),3.395.879,,,-1339514.0,3395879.0
70,70,70,Tiền và tương đương tiền cuối năm,5,284.719.971.015,2.536.206.569.386,,5.0,284719971015.0,2536206569386.0
