row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,335.572.718.215,199.612.976.318,190.827.476.395,75.044.495.947,3.334.528.265,804.392.195.140,335572718215.0,199612976318.0,190827476395.0,75044495947.0,3334528265.0,804392195140.0
- Tăng trong năm,Nguyên giá > - Tăng trong năm,- Tăng trong năm,-,-,-,15.392.420.000,-,15.392.420.000,,,,15392420000.0,,15392420000.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,-,-,160.155.000,-,160.155.000,,,,160155000.0,,160155000.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,335.572.718.215,199.612.976.318,190.827.476.395,90.597.070.947,3.334.528.265,819.944.770.140,335572718215.0,199612976318.0,190827476395.0,90597070947.0,3334528265.0,819944770140.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,8.264.120.050,67.549.967.608,130.493.405.969,15.522.146.783,1.003.250.566,222.832.890.976,8264120050.0,67549967608.0,130493405969.0,15522146783.0,1003250566.0,222832890976.0
Chở thanh lý,Trong đó: > Chở thanh lý,Chở thanh lý,-,-,34.097.800.000,271.942.400,-,34.369.742.400,,,34097800000.0,271942400.0,,34369742400.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,131.883.471.114,102.709.282.929,148.512.364.446,28.879.499.608,2.342.398.488,414.327.016.585,131883471114.0,102709282929.0,148512364446.0,28879499608.0,2342398488.0,414327016585.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,13.790.885.003,21.110.330.593,11.917.654.585,10.719.627.586,564.900.423,58.103.398.190,13790885003.0,21110330593.0,11917654585.0,10719627586.0,564900423.0,58103398190.0
Ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,145.674.356.117,123.819.613.522,160.430.019.031,39.599.127.194,2.907.298.911,472.430.414.775,145674356117.0,123819613522.0,160430019031.0,39599127194.0,2907298911.0,472430414775.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,203.689.247.101,96.903.693.389,42.315.111.949,46.164.996.339,992.129.777,390.065.178.555,203689247101.0,96903693389.0,42315111949.0,46164996339.0,992129777.0,390065178555.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,189.898.362.098,75.793.362.796,30.397.457.364,50.997.943.753,427.229.354,347.514.355.365,189898362098.0,75793362796.0,30397457364.0,50997943753.0,427229354.0,347514355365.0
