row_label_raw,row_label_full,col_0,Quế hạn,Không xác định kỳ hạn,Đến 1 năm,Từ 1 - 3 năm,Từ 3 - 5 năm,Từ 5 - 15 năm,Trên 15 năm,Tổng cộng,numeric__Quế hạn,numeric__Không xác định kỳ hạn,numeric__Đến 1 năm,numeric__Từ 1 - 3 năm,numeric__Từ 3 - 5 năm,numeric__Từ 5 - 15 năm,numeric__Trên 15 năm,numeric__Tổng cộng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.536.207,-,-,-,-,2.536.207,,,2536207.0,,,,,2536207.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,53.348,-,-,-,-,-,53.348,,53348.0,,,,,,53348.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,8.348,-,-,-,-,-,8.348,,8348.0,,,,,,8348.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,45.000,-,-,-,-,-,45.000,,45000.0,,,,,,45000.0
Đầu tư nằm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,-,914.985,2.044.303,-,-,-,2.959.288,,,914985.0,2044303.0,,,,2959288.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,-,-,622.085,1.110.053,-,-,-,1.732.138,,,622085.0,1110053.0,,,,1732138.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,-,-,292.900,934.250,-,-,-,1.227.150,,,292900.0,934250.0,,,,1227150.0
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,-,429.786,-,-,-,-,-,429.786,,429786.0,,,,,,429786.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,-,-,767.341,-,-,-,-,767.341,,,767341.0,,,,,767341.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,-,-,8.444,-,-,-,-,8.444,,,8444.0,,,,,8444.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,-,-,749.051,-,-,-,-,749.051,,,749051.0,,,,,749051.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,-,-,9.846,-,-,-,-,9.846,,,9846.0,,,,,9846.0
Tổng,Tài sản tài chính > Tổng,Tổng,-,483.134,4.218.533,2.044.303,-,-,-,6.745.970,,483134.0,4218533.0,2044303.0,,,,6745970.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,20.071,-,-,-,-,20.071,,,20071.0,,,,,20071.0
Phải trả đặt cọc cho thuê văn phòng,Nợ phải trả tài chính > Phải trả đặt cọc cho thuê văn phòng,Phải trả đặt cọc cho thuê văn phòng,-,-,1.306,-,-,-,-,1.306,,,1306.0,,,,,1306.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,11.085,-,-,-,-,11.085,,,11085.0,,,,,11085.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,-,-,58.315,-,-,-,-,58.315,,,58315.0,,,,,58315.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,-,-,-,-,231.031,-,-,231.031,,,,,231031.0,,,231031.0
Tổng,Nợ phải trả tài chính > Tổng,Tổng,-,-,90.777,-,231.031,-,-,321.808,,,90777.0,,231031.0,,,321808.0
