row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,(97.572.699.571),53.995.134.624,-97572699571.0,53995134624.0
- (Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư,- (Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư,- (Hoàn nhập)/trích lập chi phí dự phòng giảm giá đầu tư,(99.040.020.541),52.495.281.704,-99040020541.0,52495281704.0
- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,1.467.320.970,1.499.852.920,1467320970.0,1499852920.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,67.316.818.312,64.488.706.208,67316818312.0,64488706208.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,88.049.877.976,49.188.044.854,88049877976.0,49188044854.0
Chi phí mua ngoài hoạt động CNTT (bao gồm chi phí lãi vay đầu tư tài sản CNTT),Chi phí mua ngoài hoạt động CNTT (bao gồm chi phí lãi vay đầu tư tài sản CNTT),Chi phí mua ngoài hoạt động CNTT (bao gồm chi phí lãi vay đầu tư tài sản CNTT),64.849.009.611,45.049.852.353,64849009611.0,45049852353.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,8.370.845.696,10.075.723.943,8370845696.0,10075723943.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,2.171.590.060,2.090.248.211,2171590060.0,2090248211.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,5.028.428.704,4.413.435.932,5028428704.0,4413435932.0
Chi khác,Chi khác,Chi khác,25.916.778.730,27.911.887.760,25916778730.0,27911887760.0
,,,164.130.649.518,257.213.033.885,164130649518.0,257213033885.0
