row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả kinh doanh riêng,numeric__Báo cáo kết quả kinh doanh riêng_1
,,,Ngày 31 tháng12 năm 2020VND,Ngày 31 tháng12 năm 2019VND,Cho năm tài chính kết thúcngày 31 tháng 12 năm 2020VND,Cho năm tài chính kết thúcngày 31 tháng 12 năm 2019VND,,,,
Tài sản thuế thu nhập hoãn lạiChỉ phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,Tài sản thuế thu nhập hoãn lạiChỉ phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,Tài sản thuế thu nhập hoãn lạiChỉ phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,-,5.682.570.000,(5.682.570.000),-,,5682570000.0,-5682570000.0,
,,,,,(5.682.570.000),-,,,-5682570000.0,
