row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,55.334.361.164,-,55.334.361.164,78.398.080.000,55334361164.0,,55334361164.0,78398080000.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,10.334.361.164,-,10.334.361.164,10.733.580.000,10334361164.0,,10334361164.0,10733580000.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,67.664.500.000,45000000000.0,,45000000000.0,67664500000.0
Đầu tư nằm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,4.861.799.299.062,(318.709.500.000),4.543.089.799.062,5.387.416.387.642,4861799299062.0,-318709500000.0,4543089799062.0,5387416387642.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,3.843.759.632.872,(164.000.000.000),3.679.759.632.872,3.692.305.126.801,3843759632872.0,-164000000000.0,3679759632872.0,3692305126801.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,1.018.039.666.190,(154.709.500.000),863.330.166.190,1.695.111.260.841,1018039666190.0,-154709500000.0,863330166190.0,1695111260841.0
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,616.781.114.000,(89.940.967.187),526.840.146.813,778.710.575.311,616781114000.0,-89940967187.0,526840146813.0,778710575311.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,692.938.897.479,-,692.938.897.479,692.938.897.479,692938897479.0,,692938897479.0,692938897479.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,73.680.366.716,-,73.680.366.716,73.680.366.716,73680366716.0,,73680366716.0,73680366716.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,609.733.491.719,-,609.733.491.719,609.733.491.719,609733491719.0,,609733491719.0,609733491719.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,9.525.039.044,-,9.525.039.044,9.525.039.044,9525039044.0,,9525039044.0,9525039044.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,284.719.971.015,-,284.719.971.015,284.719.971.015,284719971015.0,,284719971015.0,284719971015.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,6.511.573.642.720,(408.650.467.187),6.102.923.175.533,7.222.183.911.447,6511573642720.0,-408650467187.0,6102923175533.0,7222183911447.0
