row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tảivà thiết bịtruyền dẫn,Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tảivà thiết bịtruyền dẫn,numeric__Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.413.679,5.804.162,1.970.677,452.946,16.641.464,8413679.0,5804162.0,1970677.0,452946.0,16641464.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.081,440.518,130.406,30.835,606.840,5081.0,440518.0,130406.0,30835.0,606840.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,132.245,30.800,11.773,8.920,183.738,132245.0,30800.0,11773.0,8920.0,183738.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(575),(24.109),24.374,310,-,-575.0,-24109.0,24374.0,310.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.326),(111.509),(59.121),(3.564),(179.520),-5326.0,-111509.0,-59121.0,-3564.0,-179520.0
Điều chỉnh khác,Nguyên giá > Điều chỉnh khác,Điều chỉnh khác,1.419,(444),175,(102),1.048,1419.0,-444.0,175.0,-102.0,1048.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.546.523,6.139.418,2.078.284,489.345,17.253.570,8546523.0,6139418.0,2078284.0,489345.0,17253570.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.406.691,5.248.225,1.483.801,369.485,10.508.202,3406691.0,5248225.0,1483801.0,369485.0,10508202.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,303.436,261.471,153.570,33.392,751.869,303436.0,261471.0,153570.0,33392.0,751869.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(81),(23.213),23.478,(184),-,-81.0,-23213.0,23478.0,-184.0,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.326),(108.344),(57.905),(3.525),(175.100),-5326.0,-108344.0,-57905.0,-3525.0,-175100.0
Điều chỉnh khác,Giá trị hao mòn lũy kế > Điều chỉnh khác,Điều chỉnh khác,7.313,4.826,3.464,3.780,19.383,7313.0,4826.0,3464.0,3780.0,19383.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.712.033,5.382.965,1.606.408,402.948,11.104.354,3712033.0,5382965.0,1606408.0,402948.0,11104354.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.006.988,555.937,486.876,83.461,6.133.262,5006988.0,555937.0,486876.0,83461.0,6133262.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.834.490,756.453,471.876,86.397,6.149.216,4834490.0,756453.0,471876.0,86397.0,6149216.0
