row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1.,1.,1.,Bảo lãnh vay vốn,39,15.390.290,8.785.288,,39.0,15390290.0,8785288.0
2.,2.,2.,Cam kết giao dịch hồi đoái,39,804.229.724,726.235.823,,39.0,804229724.0,726235823.0
,,,Cam kết mua ngoại tệ,,6.892.967,1.407.060,,,6892967.0,1407060.0
,,,Cam kết bán ngoại tệ,,6.892.619,1.405.874,,,6892619.0,1405874.0
,,,Cam kết giao dịch hoán đổi,,790.444.138,723.422.889,,,790444138.0,723422889.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,39,66.691.329,55.986.789,,39.0,66691329.0,55986789.0
4.,4.,4.,Bảo lãnh khác,39,108.170.999,102.201.746,,39.0,108170999.0,102201746.0
5.,5.,5.,Các cam kết khác,39,63.111.263,68.704.794,,39.0,63111263.0,68704794.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,40,10.664.189,9.609.251,,40.0,10664189.0,9609251.0
7.,7.,7.,Nợ khó đòi đã xử lý,41,164.411.420,147.630.472,,41.0,164411420.0,147630472.0
8.,8.,8.,Tài sản và chứng từ khác,42,132.970.869,91.656.083,,42.0,132970869.0,91656083.0
